(iter 5) [0.0, -0.1821, -0.4954] = 426.9681, sampling [0.0, 0.2132, -0.1344]. Recommendation = [0.0, -0.1821, -0.4954], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.2132, -0.1344] = 452.4467, sampling [0.0, 0.4014, -0.5118]. Recommendation = [0.0, 0.2132, -0.1344], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, 0.2132, -0.1344] = 452.4467, sampling [0.0, 0.1855, 0.3393]. Recommendation = [0.0, 0.2132, -0.1344], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, 0.2132, -0.1344] = 452.4467, sampling [0.0, -0.1032, -0.0188]. Recommendation = [0.0, 0.2132, -0.1344], Current Cost = 8000.00, Rho = -1.230
(iter 8) [0.0, -0.1032, -0.0188] = 454.9963, sampling [0.0, 0.5131, 0.1711]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, 0.5131, 0.1711] = 455.2128, sampling [0.0, 0.2773, 0.8145]. Recommendation = [0.0, 0.2435, 0.0394], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, 0.5131, 0.1711] = 455.2128, sampling [0.0, -0.1518, 0.3998]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 11000.00, Rho = -1.230
(iter 9) [0.0, 0.5131, 0.1711] = 455.2128, sampling [0.0, 0.0224, -0.3122]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 12000.00, Rho = -1.230
(iter 9) [0.0, 0.5131, 0.1711] = 455.2128, sampling [0.0, 0.2919, 0.0695]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 13000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 0.5668, 0.4591]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 14000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, -0.3722, 0.8414]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 15000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, -0.0379, 0.6774]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 16000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 0.5446, -0.0707]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 17000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 0.5327, 1.3349]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 18000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 0.0278, 1.1790]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 19000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 0.7645, 0.8696]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 20000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, 0.5197, 0.6562]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 21000.00, Rho = -1.230
(iter 13) [0.0, 0.2919, 0.0695] = 455.7739, sampling [0.0, -0.0162, 0.1200]. Recommendation = [0.0, 0.0792, 0.0130], Current Cost = 22000.00, Rho = -1.230
