(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.1843, -0.3567]. Recommendation = [0.0, -0.5551, -0.8416], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.3432, 0.2271]. Recommendation = [0.0, 0.1843, -0.3567], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.0294, 0.0134]. Recommendation = [0.0, 0.3432, 0.2271], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.3735, -0.1043]. Recommendation = [0.0, 0.2351, -0.0886], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.0545, 0.5900]. Recommendation = [0.0, 0.2351, -0.0886], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.5956, 0.5230]. Recommendation = [0.0, 0.2351, -0.0886], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.7903, 0.2121]. Recommendation = [0.0, 0.2351, -0.0886], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, -0.2215, -0.2481]. Recommendation = [0.0, 0.4331, 0.3593], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, -0.1572, 0.2743]. Recommendation = [0.0, 0.1804, -0.1390], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.4161, 0.9118]. Recommendation = [0.0, 0.0611, 0.2316], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, -0.0232, -0.6114]. Recommendation = [0.0, 0.4331, 0.3593], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.5775, 0.0997]. Recommendation = [0.0, 0.4331, 0.3593], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.2225, 0.3940]. Recommendation = [0.0, 0.4331, 0.3593], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.4830, -0.5838]. Recommendation = [0.0, -0.0079, -0.2083], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.8584, 0.7710]. Recommendation = [0.0, 0.4331, 0.3593], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, -0.0079, -0.2083]. Recommendation = [0.0, -0.0079, -0.2083], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.8665, 0.5548]. Recommendation = [0.0, 0.0611, 0.2316], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 1.1458, 0.2967]. Recommendation = [0.0, 0.7268, 0.6383], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.0611, 0.2316]. Recommendation = [0.0, 0.7268, 0.6383], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.6640, -0.1294]. Recommendation = [0.0, 0.7268, 0.6383], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, -0.3380, 0.0072]. Recommendation = [0.0, 0.7268, 0.6383], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, -0.3311, -0.4683]. Recommendation = [0.0, -0.1900, -0.0353], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, -0.3513, 0.6194]. Recommendation = [0.0, -0.1900, -0.0353], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.0269, 0.9656]. Recommendation = [0.0, -0.1900, -0.0353], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, -0.5047, 0.3605]. Recommendation = [0.0, -0.1900, -0.0353], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.5862, 0.3369]. Recommendation = [0.0, 0.7268, 0.6383], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.7586, 1.1121]. Recommendation = [0.0, 0.7268, 0.6383], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.5551, -0.8416] = 321.6743, sampling [1.0, 0.6319, 0.8389]. Recommendation = [0.0, 0.7268, 0.6383], Current Cost = 5032.00, Rho = 1.000
