(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.2868, -0.4545]. Recommendation = [0.0, 0.1395, -0.7004], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.4909, 0.1525]. Recommendation = [0.0, -0.2868, -0.4545], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.6194, 0.5481]. Recommendation = [0.0, -0.4909, 0.1525], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.8385, 0.1252]. Recommendation = [0.0, -0.4909, 0.1525], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.5068, -0.1325]. Recommendation = [0.0, -0.4909, 0.1525], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.2209, -0.0474]. Recommendation = [0.0, -0.4909, 0.1525], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.4755, 0.3962]. Recommendation = [0.0, -0.2209, -0.0474], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.4553, 0.7477]. Recommendation = [0.0, -0.5479, 0.3768], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.2662, 0.2505]. Recommendation = [0.0, -0.2209, -0.0474], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.9482, 0.6146]. Recommendation = [0.0, -0.3220, 0.0748], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.6729, 0.3083]. Recommendation = [0.0, -0.3220, 0.0748], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.8063, 0.9199]. Recommendation = [0.0, -0.3220, 0.0748], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.1216, -0.3057]. Recommendation = [0.0, -0.3220, 0.0748], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.7661, -0.3821]. Recommendation = [0.0, -0.3220, 0.0748], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.3220, 0.0748]. Recommendation = [0.0, -0.3220, 0.0748], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.3577, -0.2825]. Recommendation = [0.0, -0.3314, 0.2243], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -1.0229, 0.4206]. Recommendation = [0.0, -0.3314, 0.2243], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.2070, 0.5441]. Recommendation = [0.0, -0.3314, 0.2243], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.2993, -0.7711]. Recommendation = [0.0, -0.3314, 0.2243], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.0716, -0.5417]. Recommendation = [0.0, -0.3314, 0.2243], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -1.0865, 0.8848]. Recommendation = [0.0, -0.3314, 0.2243], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.8717, 0.8156]. Recommendation = [0.0, -0.3314, 0.2243], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.0147, -0.0356]. Recommendation = [0.0, -0.3314, 0.2243], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.1139, 0.1993]. Recommendation = [0.0, -0.0977, -0.0601], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.5626, 0.8977]. Recommendation = [0.0, -0.0977, -0.0601], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.5716, -0.0023]. Recommendation = [0.0, -0.0977, -0.0601], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.9775, 1.1331]. Recommendation = [0.0, -0.0977, -0.0601], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -1.3234, 0.7005]. Recommendation = [0.0, -0.0977, -0.0601], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.1834, -0.1957]. Recommendation = [0.0, -0.0977, -0.0601], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, 0.1058, -0.3698]. Recommendation = [0.0, -0.0977, -0.0601], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.1395, -0.7004] = 403.7416, sampling [1.0, -0.7572, 1.0538]. Recommendation = [0.0, -0.0977, -0.0601], Current Cost = 5035.00, Rho = 1.000
