(iter 10) [0.0, -0.7331, 0.1423] = 437.6869, sampling [1.0, 0.0624, 0.1245]. Recommendation = [0.0, -0.7331, 0.1423], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7331, 0.1423] = 437.6869, sampling [1.0, -0.2536, 0.5170]. Recommendation = [0.0, 0.0624, 0.1245], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7331, 0.1423] = 437.6869, sampling [1.0, 0.4264, -0.1750]. Recommendation = [0.0, -0.0970, 0.2257], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7331, 0.1423] = 437.6869, sampling [1.0, -0.1954, -0.1189]. Recommendation = [0.0, -0.0970, 0.2257], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7331, 0.1423] = 437.6869, sampling [1.0, 0.6719, 0.2321]. Recommendation = [0.0, -0.1686, 0.2069], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7331, 0.1423] = 437.6869, sampling [1.0, 0.1762, 0.4065]. Recommendation = [0.0, 0.3417, 0.2130], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7331, 0.1423] = 437.6869, sampling [1.0, -0.3762, 0.1699]. Recommendation = [0.0, 0.3979, 0.2298], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7331, 0.1423] = 437.6869, sampling [1.0, 0.1412, -0.3977]. Recommendation = [0.0, 0.3979, 0.2298], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7331, 0.1423] = 437.6869, sampling [1.0, 1.1408, 0.5875]. Recommendation = [0.0, 0.2473, 0.1047], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7331, 0.1423] = 437.6869, sampling [1.0, 0.9854, -0.2694]. Recommendation = [0.0, 0.0526, -0.0242], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7331, 0.1423] = 437.6869, sampling [1.0, 0.0302, 1.0690]. Recommendation = [0.0, 0.0526, -0.0242], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.7331, 0.1423] = 437.6869, sampling [1.0, 0.8297, 0.9845]. Recommendation = [0.0, 0.0526, -0.0242], Current Cost = 5016.00, Rho = 1.000
