(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.3522, 0.5314]. Recommendation = [0.0, -0.5142, 0.4293], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.0607, 0.9571]. Recommendation = [0.0, -0.5142, 0.4293], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.5018, 0.3410]. Recommendation = [0.0, -0.5142, 0.4293], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.1938, 0.1999]. Recommendation = [0.0, -0.5018, 0.3410], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.0887, 0.3783]. Recommendation = [0.0, -0.5018, 0.3410], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.3989, 0.1552]. Recommendation = [0.0, -0.5018, 0.3410], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.3072, 0.4767]. Recommendation = [0.0, -0.3989, 0.1552], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.2417, 0.0737]. Recommendation = [0.0, -0.3989, 0.1552], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.3485, 0.0352]. Recommendation = [0.0, -0.2417, 0.0737], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.0739, 0.2090]. Recommendation = [0.0, -0.2417, 0.0737], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.1030, 0.0131]. Recommendation = [0.0, -0.2417, 0.0737], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.2095, -0.0283]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.0173, 0.1221]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.0485, 0.0566]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.0476, 0.1612]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.1260, -0.0715]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.2465, -0.1017]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.3636, -0.0126]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.5289, 0.1296]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.4961, -0.0027]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.0240, 0.3092]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.3365, -0.2045]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.4401, -0.1126]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.2822, -0.1525]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.0353, -0.1168]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, -0.0309, -0.2131]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.1547, 0.1817]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.1359, -0.0638]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.1946, 0.3868]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.2025, 0.1489]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.1005, -0.1377]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.3051, 0.2468]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.3139, 0.0877]. Recommendation = [0.0, -0.1030, 0.0131], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.3452, 0.3627]. Recommendation = [0.0, 0.3139, 0.0877], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.2766, 0.3723]. Recommendation = [0.0, 0.3139, 0.0877], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.3850, 0.4964]. Recommendation = [0.0, 0.3139, 0.0877], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.5142, 0.4293] = 451.2886, sampling [1.0, 0.3336, 0.0060]. Recommendation = [0.0, 0.3139, 0.0877], Current Cost = 5041.00, Rho = 1.000
