(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, -0.0662, 0.3090]. Recommendation = [0.0, -0.2980, -0.2503], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.0288, -0.0379]. Recommendation = [0.0, -0.0662, 0.3090], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.3930, 0.3437]. Recommendation = [0.0, 0.0288, -0.0379], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, -0.0768, 0.7614]. Recommendation = [0.0, 0.0403, 0.0616], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.3865, 0.0486]. Recommendation = [0.0, 0.0403, 0.0616], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, -0.3762, 0.4033]. Recommendation = [0.0, 0.2557, 0.1408], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, -0.1859, 0.0792]. Recommendation = [0.0, 0.2557, 0.1408], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, -0.5276, 0.7759]. Recommendation = [0.0, 0.2557, 0.1408], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.5881, 0.6621]. Recommendation = [0.0, 0.2557, 0.1408], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.7491, 0.3017]. Recommendation = [0.0, 0.2557, 0.1408], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.1422, 0.2302]. Recommendation = [0.0, 0.0403, 0.0616], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.1626, 0.5729]. Recommendation = [0.0, 0.0403, 0.0616], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, -0.3682, 1.1019]. Recommendation = [0.0, 0.0403, 0.0616], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.9869, 0.6493]. Recommendation = [0.0, 0.0403, 0.0616], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.6642, 1.0331]. Recommendation = [0.0, 0.0403, 0.0616], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.7473, 0.0189]. Recommendation = [0.0, 0.0403, 0.0616], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.2575, -0.1742]. Recommendation = [0.0, 0.0403, 0.0616], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.8249, 0.4848]. Recommendation = [0.0, 0.2768, 0.0679], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.2980, -0.2503] = 443.1171, sampling [1.0, 0.5876, 0.3639]. Recommendation = [0.0, 0.2768, 0.0679], Current Cost = 5023.00, Rho = 1.000
