(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.4871, -0.0621]. Recommendation = [0.0, 0.1651, -0.3902], Current Cost = 5005.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.7076, 0.3159]. Recommendation = [0.0, -0.4871, -0.0621], Current Cost = 5006.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.8468, 0.0783]. Recommendation = [0.0, -0.7076, 0.3159], Current Cost = 5007.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.5202, 0.1700]. Recommendation = [0.0, -0.7076, 0.3159], Current Cost = 5008.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.5843, 0.6068]. Recommendation = [0.0, -0.7076, 0.3159], Current Cost = 5009.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.3601, 0.3722]. Recommendation = [0.0, -0.7076, 0.3159], Current Cost = 5010.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.5468, 0.4192]. Recommendation = [0.0, -0.5468, 0.4192], Current Cost = 5011.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.8363, 0.6017]. Recommendation = [0.0, -0.3601, 0.3722], Current Cost = 5012.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.2947, 0.1392]. Recommendation = [0.0, -0.3601, 0.3722], Current Cost = 5013.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.7285, 0.8758]. Recommendation = [0.0, -0.3601, 0.3722], Current Cost = 5014.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.3039, 0.6641]. Recommendation = [0.0, -0.3601, 0.3722], Current Cost = 5015.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.4333, 0.5921]. Recommendation = [0.0, -0.3601, 0.3722], Current Cost = 5016.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.5295, 0.7765]. Recommendation = [0.0, -0.3601, 0.3722], Current Cost = 5017.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -1.1347, 0.3937]. Recommendation = [0.0, -0.3601, 0.3722], Current Cost = 5018.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.7955, 0.4220]. Recommendation = [0.0, -0.3601, 0.3722], Current Cost = 5019.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.2047, 0.5157]. Recommendation = [0.0, -0.3601, 0.3722], Current Cost = 5020.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.2648, 0.2549]. Recommendation = [0.0, -0.2047, 0.5157], Current Cost = 5021.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.1194, 0.0563]. Recommendation = [0.0, -0.2047, 0.5157], Current Cost = 5022.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.3247, -0.0716]. Recommendation = [0.0, -0.2047, 0.5157], Current Cost = 5023.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.0200, 0.3289]. Recommendation = [0.0, -0.2047, 0.5157], Current Cost = 5024.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.0242, 0.6614]. Recommendation = [0.0, 0.0200, 0.3289], Current Cost = 5025.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, -0.1865, 0.9287]. Recommendation = [0.0, 0.0200, 0.3289], Current Cost = 5026.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.0448, 0.1479]. Recommendation = [0.0, 0.0200, 0.3289], Current Cost = 5027.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.0685, 0.3828]. Recommendation = [0.0, 0.0200, 0.3289], Current Cost = 5028.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.2295, 0.5283]. Recommendation = [0.0, 0.0685, 0.3828], Current Cost = 5029.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.1579, 0.6799]. Recommendation = [0.0, 0.2295, 0.5283], Current Cost = 5030.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.2155, 0.3799]. Recommendation = [0.0, 0.2295, 0.5283], Current Cost = 5031.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.3546, 0.4512]. Recommendation = [0.0, 0.2295, 0.5283], Current Cost = 5032.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.3489, 0.3637]. Recommendation = [0.0, 0.3546, 0.4512], Current Cost = 5033.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.4621, 0.5400]. Recommendation = [0.0, 0.3546, 0.4512], Current Cost = 5034.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.4271, 0.7178]. Recommendation = [0.0, 0.4621, 0.5400], Current Cost = 5035.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.4793, 0.6296]. Recommendation = [0.0, 0.4621, 0.5400], Current Cost = 5036.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.5431, 0.5903]. Recommendation = [0.0, 0.4793, 0.6296], Current Cost = 5037.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.5638, 0.4742]. Recommendation = [0.0, 0.5431, 0.5903], Current Cost = 5038.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.5020, 0.4885]. Recommendation = [0.0, 0.5638, 0.4742], Current Cost = 5039.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.6291, 0.5067]. Recommendation = [0.0, 0.5638, 0.4742], Current Cost = 5040.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.6640, 0.6464]. Recommendation = [0.0, 0.6291, 0.5067], Current Cost = 5041.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.6869, 0.7262]. Recommendation = [0.0, 0.6640, 0.6464], Current Cost = 5042.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.7582, 0.6272]. Recommendation = [0.0, 0.6869, 0.7262], Current Cost = 5043.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.8294, 0.7439]. Recommendation = [0.0, 0.7582, 0.6272], Current Cost = 5044.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.8362, 0.6899]. Recommendation = [0.0, 0.8294, 0.7439], Current Cost = 5045.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.7109, 0.9788]. Recommendation = [0.0, 0.8362, 0.6899], Current Cost = 5046.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.9579, 0.8332]. Recommendation = [0.0, 0.8362, 0.6899], Current Cost = 5047.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.8700, 0.9737]. Recommendation = [0.0, 0.9579, 0.8332], Current Cost = 5048.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.9935, 0.9226]. Recommendation = [0.0, 0.9579, 0.8332], Current Cost = 5049.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.9785, 0.9529]. Recommendation = [0.0, 0.9935, 0.9226], Current Cost = 5050.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 1.0512, 0.8001]. Recommendation = [0.0, 0.9935, 0.9226], Current Cost = 5051.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 0.9345, 0.7103]. Recommendation = [0.0, 1.0512, 0.8001], Current Cost = 5052.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 1.1109, 1.0414]. Recommendation = [0.0, 1.0512, 0.8001], Current Cost = 5053.00, Rho = 0.490
(iter 10) [0.0, 0.1651, -0.3902] = 438.1713, sampling [1.0, 1.0336, 1.1517]. Recommendation = [0.0, 1.1109, 1.0414], Current Cost = 5054.00, Rho = 0.490
