(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.0972, -0.5859]. Recommendation = [0.0, 0.2517, -0.3488], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.1238, -0.2505]. Recommendation = [0.0, 0.2517, -0.3488], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.0804, -0.2040]. Recommendation = [0.0, -0.1238, -0.2505], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.2796, -0.4442]. Recommendation = [0.0, 0.0804, -0.2040], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.0266, 0.1097]. Recommendation = [0.0, 0.0804, -0.2040], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.2721, -0.0549]. Recommendation = [0.0, -0.0266, 0.1097], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.0463, -0.0893]. Recommendation = [0.0, -0.0463, -0.0893], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.1725, 0.0499]. Recommendation = [0.0, -0.1529, -0.1177], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.0676, 0.3848]. Recommendation = [0.0, 0.0574, -0.0135], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.2554, 0.3058]. Recommendation = [0.0, 0.0633, 0.0028], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.2041, 0.6848]. Recommendation = [0.0, 0.1440, 0.2240], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.1887, 0.4453]. Recommendation = [0.0, 0.0633, 0.0028], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.3759, 0.1471]. Recommendation = [0.0, 0.0633, 0.0028], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.0628, 0.6326]. Recommendation = [0.0, -0.0903, 0.1770], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.0822, 0.1910]. Recommendation = [0.0, -0.0903, 0.1770], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.3293, -0.2344]. Recommendation = [0.0, 0.0633, 0.0028], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.1037, 0.2431]. Recommendation = [0.0, 0.0633, 0.0028], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.3453, -0.0365]. Recommendation = [0.0, 0.0633, 0.0028], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.3482, 0.1431]. Recommendation = [0.0, 0.0574, -0.0135], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.4978, 0.5148]. Recommendation = [0.0, 0.2147, 0.1036], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.3117, 0.4425]. Recommendation = [0.0, 0.2147, 0.1036], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.4386, 1.0442]. Recommendation = [0.0, 0.2147, 0.1036], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.6097, 0.7350]. Recommendation = [0.0, 0.2147, 0.1036], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.3682, 0.7780]. Recommendation = [0.0, 0.2147, 0.1036], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.5166, 0.3461]. Recommendation = [0.0, 0.2147, 0.1036], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.5660, 0.1131]. Recommendation = [0.0, 0.2147, 0.1036], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.6671, 0.4835]. Recommendation = [0.0, 0.4302, 0.2766], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.5458, -0.1399]. Recommendation = [0.0, 0.4613, 0.1528], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.5076, -0.5262]. Recommendation = [0.0, 0.4613, 0.1528], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.0002, 0.9129]. Recommendation = [0.0, 0.4613, 0.1528], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.4116, 0.3688]. Recommendation = [0.0, 0.4613, 0.1528], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, -0.4736, 0.0131]. Recommendation = [0.0, 0.4613, 0.1528], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.2517, -0.3488] = 438.7524, sampling [1.0, 0.1616, -0.1510]. Recommendation = [0.0, 0.4613, 0.1528], Current Cost = 5037.00, Rho = 1.000
