(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, -0.2202, -0.0199]. Recommendation = [0.0, 0.0622, -0.2975], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.2514, 0.3437]. Recommendation = [0.0, -0.2202, -0.0199], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.4453, 0.8841]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, -0.0786, 0.4073]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.1023, 0.0960]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.6439, 0.1932]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.6747, 0.5063]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.4331, -0.1719]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.2033, 0.6092]. Recommendation = [0.0, 0.5181, 0.2696], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.3639, 0.0718]. Recommendation = [0.0, 0.5181, 0.2696], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.8872, 0.9459]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 1.0082, 0.5019]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.7770, 0.7410]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, -0.2938, -0.3830]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.5572, 1.1956]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, -0.4289, 0.2679]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, -0.5220, -0.1132]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, -0.2070, 0.8186]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.9364, -0.0295]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, -0.2706, 0.1917]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, -0.0439, -0.0801]. Recommendation = [0.0, -0.0439, -0.0801], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.2213, -0.1073]. Recommendation = [0.0, 0.2103, 0.0404], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.1180, 1.2476]. Recommendation = [0.0, 0.2103, 0.0404], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, -0.3155, 0.5437]. Recommendation = [0.0, 0.2103, 0.0404], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0622, -0.2975] = 446.3399, sampling [1.0, 0.8182, 0.3701]. Recommendation = [0.0, 0.2103, 0.0404], Current Cost = 5029.00, Rho = 1.000
