(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, 0.3782, 0.0212]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5005.00, Rho = 0.757
(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, 0.3041, -0.4366]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5006.00, Rho = 0.757
(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, 0.8639, 0.1236]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5007.00, Rho = 0.757
(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, 0.4451, 0.5212]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5008.00, Rho = 0.757
(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, 0.0262, 0.1174]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5009.00, Rho = 0.757
(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, 0.1625, -0.1772]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5010.00, Rho = 0.757
(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, -0.1100, -0.5451]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5011.00, Rho = 0.757
(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, 0.7758, 0.3743]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5012.00, Rho = 0.757
(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, 0.6146, -0.2697]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5013.00, Rho = 0.757
(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, 0.5021, 0.2185]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5014.00, Rho = 0.757
(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, 0.7876, 0.7792]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5015.00, Rho = 0.757
(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, 0.0139, 0.5754]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5016.00, Rho = 0.757
(iter 10) [0.0, -0.1708, -0.2422] = 447.5655, sampling [1.0, -0.3626, 0.1016]. Recommendation = [0.0, -0.1708, -0.2422], Current Cost = 5017.00, Rho = 0.757
