(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.2394, -0.4217]. Recommendation = [0.0, 0.1007, -0.7359], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.3683, -0.6520]. Recommendation = [0.0, -0.2394, -0.4217], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.4687, -0.1521]. Recommendation = [0.0, -0.2394, -0.4217], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.0799, -0.1236]. Recommendation = [0.0, -0.4687, -0.1521], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.2217, 0.2023]. Recommendation = [0.0, -0.0799, -0.1236], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.5355, 0.1998]. Recommendation = [0.0, -0.1869, -0.0341], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.3938, 0.5450]. Recommendation = [0.0, -0.1869, -0.0341], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.0433, 0.4613]. Recommendation = [0.0, -0.4335, 0.1408], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.0091, 0.2177]. Recommendation = [0.0, -0.4335, 0.1408], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.0349, -0.3501]. Recommendation = [0.0, -0.1869, -0.0341], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.3481, 0.3779]. Recommendation = [0.0, -0.1869, -0.0341], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.2184, 0.9034]. Recommendation = [0.0, -0.1869, -0.0341], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.1324, 0.4846]. Recommendation = [0.0, -0.1869, -0.0341], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.7396, 0.3910]. Recommendation = [0.0, -0.1869, -0.0341], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.1869, -0.0341]. Recommendation = [0.0, -0.1869, -0.0341], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.2023, -0.2323]. Recommendation = [0.0, -0.2075, 0.1016], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.6632, 0.6953]. Recommendation = [0.0, -0.2075, 0.1016], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.7801, 0.1395]. Recommendation = [0.0, -0.6315, 0.4646], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.6315, 0.4646]. Recommendation = [0.0, -0.5428, 0.2774], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.2546, 0.7486]. Recommendation = [0.0, -0.5428, 0.2774], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.3261, 0.2143]. Recommendation = [0.0, -0.5428, 0.2774], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.1725, -0.1345]. Recommendation = [0.0, -0.5428, 0.2774], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.2200, 0.3978]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.2030, 0.1773]. Recommendation = [0.0, 0.2030, 0.1773], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.0162, -0.5757]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.4335, 0.1408]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.0011, 0.6503]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.4876, -0.3707]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.9089, 0.5418]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.6278, 1.0794]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.1539, 1.3422]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.5316, 0.8994]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.8431, 0.8782]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.0936, 0.0539]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, -0.8289, 0.7190]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.4603, 0.5057]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.3714, 0.0512]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.4901, 1.0695]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.6060, 0.7392]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.1007, -0.7359] = 399.8400, sampling [1.0, 0.5813, 0.2989]. Recommendation = [0.0, 0.0168, -0.1105], Current Cost = 5044.00, Rho = 1.000
