(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.1072, 1.6846]. Recommendation = [0.0, 0.1312, 0.9502], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.8085, 0.8688]. Recommendation = [0.0, 0.1312, 0.9502], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.7840, 1.4169]. Recommendation = [0.0, 0.8085, 0.8688], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 1.3190, 1.0544]. Recommendation = [0.0, 0.8085, 0.8688], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 1.0693, 0.6695]. Recommendation = [0.0, 0.8085, 0.8688], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.5677, 0.6124]. Recommendation = [0.0, 0.9319, 0.9052], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.5754, 1.0000]. Recommendation = [0.0, 0.6339, 0.7681], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.9275, 1.1028]. Recommendation = [0.0, 0.8085, 0.8688], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 1.2775, 1.6777]. Recommendation = [0.0, 0.9319, 0.9052], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.7384, 1.9313]. Recommendation = [0.0, 1.2775, 1.6777], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 1.7476, 1.5014]. Recommendation = [0.0, 1.2775, 1.6777], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 1.1745, 1.2749]. Recommendation = [0.0, 1.2775, 1.6777], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.7647, 0.4040]. Recommendation = [0.0, 1.2775, 1.6777], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.3872, 1.3122]. Recommendation = [0.0, 0.8012, 0.5600], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.2990, 0.3742]. Recommendation = [0.0, 0.8012, 0.5600], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.3222, 0.7569]. Recommendation = [0.0, 0.8012, 0.5600], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 1.0324, 1.4890]. Recommendation = [0.0, 0.8012, 0.5600], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 1.4871, 0.6827]. Recommendation = [0.0, 0.8012, 0.5600], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 1.3732, 1.9867]. Recommendation = [0.0, 0.8012, 0.5600], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 1.0876, 1.8805]. Recommendation = [0.0, 0.8012, 0.5600], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.5396, 0.3055]. Recommendation = [0.0, 0.8012, 0.5600], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.6037, 1.2615]. Recommendation = [0.0, 0.5024, 0.3985], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.2986, 0.8146]. Recommendation = [0.0, 0.5024, 0.3985], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.0423, 0.4104]. Recommendation = [0.0, 0.5024, 0.3985], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.1934, 1.1374]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.9995, 1.4861]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.5764, 1.6726]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.1970, 0.5888]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -1.5836, 1.8566]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -1.3251, 1.6216]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -1.1380, 1.1074]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.7468, 0.8226]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -1.4991, 1.3647]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.9282, 1.1303]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.3827, 0.4593]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.1022, 0.0229]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.4777, 0.0337]. Recommendation = [0.0, 0.5989, 0.4206], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.2735, 0.0935]. Recommendation = [0.0, 0.3692, 0.1699], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.7955, 0.4841]. Recommendation = [0.0, 0.1427, 0.1411], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.5468, 0.6556]. Recommendation = [0.0, 0.1427, 0.1411], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -1.0521, 0.7831]. Recommendation = [0.0, 0.1427, 0.1411], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.2153, 0.1820]. Recommendation = [0.0, 0.1427, 0.1411], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -1.2399, 1.3921]. Recommendation = [0.0, 0.4070, 0.1482], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -1.3322, 1.9248]. Recommendation = [0.0, 0.4070, 0.1482], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, -0.0755, 0.2677]. Recommendation = [0.0, 0.4070, 0.1482], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 0.7766, 0.1968]. Recommendation = [0.0, 0.4070, 0.1482], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.1312, 0.9502] = 368.4972, sampling [1.0, 1.0072, 0.4537]. Recommendation = [0.0, 0.4499, 0.1396], Current Cost = 5051.00, Rho = 1.000
