(iter 10) [0.0, -0.4096, -0.2652] = 435.5614, sampling [1.0, 0.1534, 0.0098]. Recommendation = [0.0, -0.4096, -0.2652], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.4096, -0.2652] = 435.5614, sampling [1.0, 0.5567, 0.2129]. Recommendation = [0.0, 0.1534, 0.0098], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.4096, -0.2652] = 435.5614, sampling [1.0, 0.1660, 0.5139]. Recommendation = [0.0, 0.2530, -0.0307], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.4096, -0.2652] = 435.5614, sampling [1.0, -0.0604, -0.2125]. Recommendation = [0.0, 0.3983, 0.1586], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.4096, -0.2652] = 435.5614, sampling [1.0, 0.4506, -0.1959]. Recommendation = [0.0, 0.3983, 0.1586], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.4096, -0.2652] = 435.5614, sampling [1.0, -0.1503, 0.1463]. Recommendation = [0.0, 0.3983, 0.1586], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.4096, -0.2652] = 435.5614, sampling [1.0, 0.6916, 0.5119]. Recommendation = [0.0, -0.0196, 0.0536], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.4096, -0.2652] = 435.5614, sampling [1.0, 0.8614, 0.0420]. Recommendation = [0.0, -0.0196, 0.0536], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.4096, -0.2652] = 435.5614, sampling [1.0, 0.2251, 0.2712]. Recommendation = [0.0, -0.0196, 0.0536], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.4096, -0.2652] = 435.5614, sampling [1.0, 0.5250, 0.7933]. Recommendation = [0.0, -0.0196, 0.0536], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.4096, -0.2652] = 435.5614, sampling [1.0, 0.4044, 0.4510]. Recommendation = [0.0, -0.0196, 0.0536], Current Cost = 5015.00, Rho = 1.000
