(iter 5) [0.0, -0.8923, 0.3832] = 435.6637, sampling [0.0, -0.2024, -0.0155]. Recommendation = [0.0, -0.8923, 0.3832], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, -0.3697, 0.5352]. Recommendation = [0.0, -0.2024, -0.0155], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, -0.5320, 0.0127]. Recommendation = [0.0, -0.2024, -0.0155], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, 0.0750, -0.1211]. Recommendation = [0.0, -0.2024, -0.0155], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, -0.9935, 0.9745]. Recommendation = [0.0, -0.2024, -0.0155], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, -0.7550, 0.7819]. Recommendation = [0.0, -0.2024, -0.0155], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, -0.0445, 0.2725]. Recommendation = [0.0, -0.2024, -0.0155], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, -0.2943, -0.3029]. Recommendation = [0.0, -0.1988, 0.0892], Current Cost = 12000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, -1.2788, 0.7192]. Recommendation = [0.0, -0.1988, 0.0892], Current Cost = 13000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, -0.6472, 1.1906]. Recommendation = [0.0, -0.1988, 0.0892], Current Cost = 14000.00, Rho = -1.230
(iter 5) [0.0, -0.2024, -0.0155] = 454.5357, sampling [0.0, -0.5811, 0.3190]. Recommendation = [0.0, -0.1988, 0.0892], Current Cost = 15000.00, Rho = -1.230
