(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.0284, 0.5799]. Recommendation = [0.0, -0.2191, 0.5326], Current Cost = 5005.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.3638, 0.3998]. Recommendation = [0.0, 0.0180, -0.1069], Current Cost = 5006.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.0427, 0.1461]. Recommendation = [0.0, 0.0180, -0.1069], Current Cost = 5007.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.4192, 0.6967]. Recommendation = [0.0, 0.0180, -0.1069], Current Cost = 5008.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.3930, 1.2266]. Recommendation = [0.0, 0.0180, -0.1069], Current Cost = 5009.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.0013, 0.2815]. Recommendation = [0.0, 0.0180, -0.1069], Current Cost = 5010.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.5910, 0.5404]. Recommendation = [0.0, 0.0180, -0.1069], Current Cost = 5011.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.2523, 0.3527]. Recommendation = [0.0, 0.0180, -0.1069], Current Cost = 5012.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.1409, -0.0248]. Recommendation = [0.0, 0.0180, -0.1069], Current Cost = 5013.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.4298, 0.1784]. Recommendation = [0.0, -0.1409, -0.0248], Current Cost = 5014.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.2670, 0.0266]. Recommendation = [0.0, -0.1409, -0.0248], Current Cost = 5015.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, -0.4931, 0.4195]. Recommendation = [0.0, -0.1409, -0.0248], Current Cost = 5016.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.1196, 0.1650]. Recommendation = [0.0, -0.1409, -0.0248], Current Cost = 5017.00, Rho = 0.606
(iter 10) [0.0, 0.0180, -0.1069] = 454.1869, sampling [1.0, 0.0236, 0.1166]. Recommendation = [0.0, 0.0236, 0.1166], Current Cost = 5018.00, Rho = 0.606
