(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, 0.1617, -0.2126]. Recommendation = [0.0, 0.6150, -0.3514], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, 0.4075, -0.1217]. Recommendation = [0.0, 0.1617, -0.2126], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, 0.1145, 0.1158]. Recommendation = [0.0, 0.4075, -0.1217], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, -0.1847, -0.1127]. Recommendation = [0.0, 0.4075, -0.1217], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, -0.3275, 0.2469]. Recommendation = [0.0, 0.0561, -0.0344], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, -0.5673, -0.0503]. Recommendation = [0.0, 0.0561, -0.0344], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, 0.0418, 0.4684]. Recommendation = [0.0, 0.0561, -0.0344], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, -0.1169, 0.1791]. Recommendation = [0.0, 0.0151, -0.0070], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, 0.3722, 0.2371]. Recommendation = [0.0, 0.0561, -0.0344], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, -0.3425, -0.4106]. Recommendation = [0.0, 0.2807, -0.0313], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, -0.0875, -0.3602]. Recommendation = [0.0, 0.2807, -0.0313], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, -0.5483, 0.5668]. Recommendation = [0.0, 0.2807, -0.0313], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.6150, -0.3514] = 402.9109, sampling [1.0, -0.6441, 0.3046]. Recommendation = [0.0, 0.2807, -0.0313], Current Cost = 5017.00, Rho = 1.000
