(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.8046, -0.0175]. Recommendation = [0.0, 1.1890, 1.9360], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.5197, 0.2540]. Recommendation = [0.0, 1.1890, 1.9360], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.8175, 0.4431]. Recommendation = [0.0, -0.5197, 0.2540], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.5890, 0.6892]. Recommendation = [0.0, -0.5197, 0.2540], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.6213, 0.4221]. Recommendation = [0.0, -0.6997, 0.4365], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.2423, 0.4905]. Recommendation = [0.0, -0.6997, 0.4365], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.3714, 0.0920]. Recommendation = [0.0, -0.5477, 0.3635], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.5932, 0.0511]. Recommendation = [0.0, -0.5211, 0.1042], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.1474, 1.0720]. Recommendation = [0.0, -0.5477, 0.3635], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.4270, 0.4275]. Recommendation = [0.0, -0.5477, 0.3635], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.8716, 0.8734]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.5672, 1.0472]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -1.0475, 0.5687]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.7471, 0.6655]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.3130, 0.7765]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, 0.5713, 1.7340]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.8754, 0.1952]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.2602, 0.2334]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.4638, -0.0660]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.8543, 0.7183]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -1.2021, 0.2392]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.8411, 1.1788]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -1.0551, 0.8900]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.4299, 1.5330]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.7934, 1.0304]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.3788, 0.5593]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.6603, 0.7910]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -1.0212, 1.1106]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.3562, 0.2937]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.0605, 0.3508]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.1847, -0.2161]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, 0.0733, 0.0376]. Recommendation = [0.0, -0.4651, 0.2190], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, 0.1665, 0.6990]. Recommendation = [0.0, -0.2970, 0.0855], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 1.1890, 1.9360] = 428.9982, sampling [1.0, -0.0124, 0.1992]. Recommendation = [0.0, -0.2970, 0.0855], Current Cost = 5038.00, Rho = 1.000
