(iter 10) [0.0, 0.5570, -0.5520] = 381.7481, sampling [1.0, 0.6854, -0.5473]. Recommendation = [0.0, 0.5570, -0.5520], Current Cost = 5005.00, Rho = 0.177
(iter 10) [0.0, 0.5570, -0.5520] = 381.7481, sampling [1.0, 0.6607, -0.4019]. Recommendation = [0.0, 0.5570, -0.5520], Current Cost = 5006.00, Rho = 0.177
(iter 10) [0.0, 0.5570, -0.5520] = 381.7481, sampling [1.0, 0.4775, -0.4899]. Recommendation = [0.0, 0.5570, -0.5520], Current Cost = 5007.00, Rho = 0.177
(iter 10) [0.0, 0.5570, -0.5520] = 381.7481, sampling [1.0, 0.7989, -0.3181]. Recommendation = [0.0, 0.5570, -0.5520], Current Cost = 5008.00, Rho = 0.177
(iter 10) [0.0, 0.5570, -0.5520] = 381.7481, sampling [1.0, 0.6747, -0.2162]. Recommendation = [0.0, 0.5570, -0.5520], Current Cost = 5009.00, Rho = 0.177
(iter 10) [0.0, 0.5570, -0.5520] = 381.7481, sampling [1.0, 0.5685, -0.7208]. Recommendation = [0.0, 0.5570, -0.5520], Current Cost = 5010.00, Rho = 0.177
(iter 10) [0.0, 0.5570, -0.5520] = 381.7481, sampling [1.0, 0.7615, -0.5955]. Recommendation = [0.0, 0.5570, -0.5520], Current Cost = 5011.00, Rho = 0.177
(iter 10) [0.0, 0.5570, -0.5520] = 381.7481, sampling [0.0, 0.6747, -0.2162]. Recommendation = [0.0, 0.5570, -0.5520], Current Cost = 5012.00, Rho = 0.177
(iter 17) [0.0, 0.6747, -0.2162] = 411.1128, sampling [1.0, 0.6392, -0.1529]. Recommendation = [0.0, 0.6747, -0.2162], Current Cost = 6012.00, Rho = 0.177
(iter 17) [0.0, 0.6747, -0.2162] = 411.1128, sampling [1.0, 0.6815, -0.0815]. Recommendation = [0.0, 0.6747, -0.2162], Current Cost = 6013.00, Rho = 0.177
(iter 17) [0.0, 0.6747, -0.2162] = 411.1128, sampling [1.0, 0.8284, -0.0626]. Recommendation = [0.0, 0.6747, -0.2162], Current Cost = 6014.00, Rho = 0.177
(iter 17) [0.0, 0.6747, -0.2162] = 411.1128, sampling [1.0, 0.8523, -0.2431]. Recommendation = [0.0, 0.6747, -0.2162], Current Cost = 6015.00, Rho = 0.177
(iter 17) [0.0, 0.6747, -0.2162] = 411.1128, sampling [1.0, 0.4697, -0.1208]. Recommendation = [0.0, 0.6747, -0.2162], Current Cost = 6016.00, Rho = 0.177
(iter 17) [0.0, 0.6747, -0.2162] = 411.1128, sampling [1.0, 0.6599, 0.0154]. Recommendation = [0.0, 0.6747, -0.2162], Current Cost = 6017.00, Rho = 0.177
(iter 17) [0.0, 0.6747, -0.2162] = 411.1128, sampling [1.0, 0.8618, -0.3707]. Recommendation = [0.0, 0.6747, -0.2162], Current Cost = 6018.00, Rho = 0.177
(iter 17) [0.0, 0.6747, -0.2162] = 411.1128, sampling [0.0, 0.6599, 0.0154]. Recommendation = [0.0, 0.6747, -0.2162], Current Cost = 6019.00, Rho = 0.177
(iter 25) [0.0, 0.6599, 0.0154] = 438.5351, sampling [1.0, 0.6769, -0.0301]. Recommendation = [0.0, 0.6599, 0.0154], Current Cost = 7019.00, Rho = 0.177
(iter 25) [0.0, 0.6599, 0.0154] = 438.5351, sampling [1.0, 0.5406, 0.0331]. Recommendation = [0.0, 0.6599, 0.0154], Current Cost = 7020.00, Rho = 0.177
(iter 25) [0.0, 0.6599, 0.0154] = 438.5351, sampling [1.0, 0.5611, 0.0936]. Recommendation = [0.0, 0.6599, 0.0154], Current Cost = 7021.00, Rho = 0.177
(iter 25) [0.0, 0.6599, 0.0154] = 438.5351, sampling [1.0, 0.8113, -0.0104]. Recommendation = [0.0, 0.6599, 0.0154], Current Cost = 7022.00, Rho = 0.177
(iter 25) [0.0, 0.6599, 0.0154] = 438.5351, sampling [1.0, 0.7390, 0.2580]. Recommendation = [0.0, 0.6599, 0.0154], Current Cost = 7023.00, Rho = 0.177
(iter 25) [0.0, 0.6599, 0.0154] = 438.5351, sampling [0.0, 0.7390, 0.2580]. Recommendation = [0.0, 0.6599, 0.0154], Current Cost = 7024.00, Rho = 0.177
(iter 31) [0.0, 0.7390, 0.2580] = 447.9285, sampling [1.0, 0.6542, 0.2513]. Recommendation = [0.0, 0.7390, 0.2580], Current Cost = 8024.00, Rho = 0.177
(iter 31) [0.0, 0.7390, 0.2580] = 447.9285, sampling [1.0, 0.7870, 0.3022]. Recommendation = [0.0, 0.7390, 0.2580], Current Cost = 8025.00, Rho = 0.177
