(iter 5) [0.0, 0.4548, -0.6261] = 386.6205, sampling [0.0, -1.0651, 0.6788]. Recommendation = [0.0, 0.4548, -0.6261], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -1.0651, 0.6788] = 431.2766, sampling [0.0, -0.6782, 0.1636]. Recommendation = [0.0, -1.0651, 0.6788], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, -0.6782, 0.1636] = 444.6972, sampling [0.0, -0.4000, -0.3133]. Recommendation = [0.0, -0.6782, 0.1636], Current Cost = 7000.00, Rho = -1.230
(iter 6) [0.0, -0.6782, 0.1636] = 444.6972, sampling [0.0, -1.1971, 0.0104]. Recommendation = [0.0, -0.6782, 0.1636], Current Cost = 8000.00, Rho = -1.230
(iter 6) [0.0, -0.6782, 0.1636] = 444.6972, sampling [0.0, -0.5748, 0.5979]. Recommendation = [0.0, -0.6782, 0.1636], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, -0.5748, 0.5979] = 446.6618, sampling [0.0, -0.3027, 0.1420]. Recommendation = [0.0, -0.5748, 0.5979], Current Cost = 10000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.9570, 1.1186]. Recommendation = [0.0, -0.3027, 0.1420], Current Cost = 11000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.0784, -0.5359]. Recommendation = [0.0, -0.3027, 0.1420], Current Cost = 12000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.7840, 0.7874]. Recommendation = [0.0, -0.3027, 0.1420], Current Cost = 13000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.1797, -0.1214]. Recommendation = [0.0, -0.3027, 0.1420], Current Cost = 14000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.3136, 0.4698]. Recommendation = [0.0, -0.4039, 0.0568], Current Cost = 15000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -1.3841, 0.9007]. Recommendation = [0.0, -0.4699, 0.1964], Current Cost = 16000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.7661, 0.4059]. Recommendation = [0.0, -0.4699, 0.1964], Current Cost = 17000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.4899, -0.0769]. Recommendation = [0.0, -0.5158, 0.2294], Current Cost = 18000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.8957, 1.5064]. Recommendation = [0.0, -0.4699, 0.1964], Current Cost = 19000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.5158, 0.2294]. Recommendation = [0.0, -0.4699, 0.1964], Current Cost = 20000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, 0.1231, -0.3169]. Recommendation = [0.0, -0.4039, 0.0568], Current Cost = 21000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.0065, 0.1171]. Recommendation = [0.0, -0.4039, 0.0568], Current Cost = 22000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.6204, 1.0121]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 23000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.5700, -0.7070]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 24000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.0644, 0.4214]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 25000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.2807, 0.7628]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 26000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -1.2280, 1.9288]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 27000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -1.2373, 1.5620]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 28000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -1.6770, 1.8159]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 29000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.7215, 1.9669]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 30000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -1.0835, 1.3237]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 31000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, 0.0822, -0.7282]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 32000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.8482, 0.5748]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 33000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, -0.1289, 0.2151]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 34000.00, Rho = -1.230
(iter 10) [0.0, -0.3027, 0.1420] = 454.3497, sampling [0.0, 0.2587, -0.0448]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 35000.00, Rho = -1.230
(iter 35) [0.0, 0.2587, -0.0448] = 454.5035, sampling [0.0, -0.0410, -0.0157]. Recommendation = [0.0, -0.0410, -0.0157], Current Cost = 36000.00, Rho = -1.230
(iter 36) [0.0, -0.0410, -0.0157] = 455.1862, sampling [0.0, -1.0716, 0.8759]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 37000.00, Rho = -1.230
(iter 36) [0.0, -0.0410, -0.0157] = 455.1862, sampling [0.0, -0.4731, 0.4403]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 38000.00, Rho = -1.230
(iter 36) [0.0, -0.0410, -0.0157] = 455.1862, sampling [0.0, 0.1560, 0.2247]. Recommendation = [0.0, -0.1602, 0.0760], Current Cost = 39000.00, Rho = -1.230
