(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.5539, 0.6926]. Recommendation = [0.0, 0.1228, -0.7208], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.2814, 0.3053]. Recommendation = [0.0, -0.5539, 0.6926], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.5652, 0.3325]. Recommendation = [0.0, -0.2814, 0.3053], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.4018, 0.4940]. Recommendation = [0.0, -0.5652, 0.3325], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.4524, 0.0492]. Recommendation = [0.0, -0.5652, 0.3325], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.1708, -0.1073]. Recommendation = [0.0, -0.5652, 0.3325], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.7240, 0.5263]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.8225, 0.2578]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.0972, 0.1086]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.2009, 0.7510]. Recommendation = [0.0, -0.3598, 0.1332], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.3598, 0.1332]. Recommendation = [0.0, -0.3598, 0.1332], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.3781, -0.0968]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.1619, -0.3236]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.8739, 0.6650]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.6508, 0.1528]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.2089, 0.1954]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.6910, 0.3743]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.7037, 1.0359]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.8062, 0.7726]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.7154, 0.6558]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, 0.0323, -0.1546]. Recommendation = [0.0, -0.3725, 0.1369], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.0956, 0.3649]. Recommendation = [0.0, -0.1325, -0.0303], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.1226, -0.0278]. Recommendation = [0.0, -0.1325, -0.0303], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.6221, 0.4866]. Recommendation = [0.0, -0.1325, -0.0303], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, 0.0829, 0.0440]. Recommendation = [0.0, -0.1325, -0.0303], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.0400, 0.2342]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.1053, -0.2410]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.2289, -0.1957]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.5705, -0.0217]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.4790, 0.8466]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.9146, 0.8394]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -1.0200, 0.6117]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.6778, 0.2689]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, 0.1153, 0.1492]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.1725, 0.4429]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.3990, -0.2065]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.0618, -0.3254]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.8100, 0.6423]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.9103, 0.3458]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.6569, 0.5688]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, 0.1588, 0.5984]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, 0.0079, 0.4205]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, 0.1622, 0.2623]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, 0.2158, -0.2208]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, 0.2269, 0.0235]. Recommendation = [0.0, 0.0829, 0.0440], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, 0.1107, -0.0072]. Recommendation = [0.0, 0.1107, -0.0072], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.2267, 1.1921]. Recommendation = [0.0, 0.2064, 0.0368], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.9968, 0.7369]. Recommendation = [0.0, 0.2064, 0.0368], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.1437, 0.1827]. Recommendation = [0.0, 0.2064, 0.0368], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.1228, -0.7208] = 401.3725, sampling [1.0, -0.5958, 0.3805]. Recommendation = [0.0, 0.2064, 0.0368], Current Cost = 5054.00, Rho = 1.000
