(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.0954, -0.0764]. Recommendation = [0.0, 0.0070, -0.4596], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.4036, 0.2852]. Recommendation = [0.0, 0.0954, -0.0764], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.2499, 0.0269]. Recommendation = [0.0, 0.0954, -0.0764], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.0588, 0.1984]. Recommendation = [0.0, 0.2499, 0.0269], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.4712, 0.0715]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.6084, 0.3045]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.5285, 0.6091]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.2568, 0.4032]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.2013, -0.2326]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, -0.0353, -0.2492]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.8753, 0.4311]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.7104, 0.5652]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.7369, 0.2974]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.2974, -0.1143]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, -0.1406, 0.1229]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, -0.2390, -0.1007]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.0404, 0.1153]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.1863, 0.0750]. Recommendation = [0.0, 0.1863, 0.0750], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.5907, 0.0890]. Recommendation = [0.0, 0.7104, 0.5652], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, -0.0166, 0.3734]. Recommendation = [0.0, 0.7104, 0.5652], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.1583, 0.3235]. Recommendation = [0.0, 0.7104, 0.5652], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.8506, 0.6232]. Recommendation = [0.0, 0.7104, 0.5652], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.3553, 0.5345]. Recommendation = [0.0, 0.7951, 0.5727], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.4524, -0.0468]. Recommendation = [0.0, 0.7951, 0.5727], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.7136, 0.8443]. Recommendation = [0.0, 0.7951, 0.5727], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.6719, 0.6539]. Recommendation = [0.0, 0.7805, 0.6264], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, -0.2864, 0.1050]. Recommendation = [0.0, 0.7951, 0.5727], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, -0.1904, 0.2314]. Recommendation = [0.0, 0.7951, 0.5727], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.7951, 0.5727]. Recommendation = [0.0, 0.7951, 0.5727], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.3979, 0.3575]. Recommendation = [0.0, 0.7805, 0.6264], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.8072, 0.6708]. Recommendation = [0.0, 0.7805, 0.6264], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 0.4970, 0.7982]. Recommendation = [0.0, 0.7805, 0.6264], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, -0.1544, -0.3409]. Recommendation = [0.0, 0.7805, 0.6264], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, -0.3375, -0.0608]. Recommendation = [0.0, 0.7805, 0.6264], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, -0.2569, -0.1885]. Recommendation = [0.0, 0.7805, 0.6264], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.0070, -0.4596] = 434.1852, sampling [1.0, 1.0220, 0.5779]. Recommendation = [0.0, 0.7805, 0.6264], Current Cost = 5040.00, Rho = 1.000
