(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.2007, -0.1665]. Recommendation = [0.0, -0.0390, -0.4047], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, 0.0017, -0.1449]. Recommendation = [0.0, -0.2007, -0.1665], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.0928, 0.0026]. Recommendation = [0.0, 0.0017, -0.1449], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.1704, -0.0695]. Recommendation = [0.0, -0.0928, 0.0026], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.0587, -0.3279]. Recommendation = [0.0, -0.0928, 0.0026], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.2920, 0.1651]. Recommendation = [0.0, -0.0928, 0.0026], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.2759, -0.0208]. Recommendation = [0.0, -0.0928, 0.0026], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.1510, 0.2087]. Recommendation = [0.0, -0.2639, -0.0141], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.2513, 0.3550]. Recommendation = [0.0, -0.2639, -0.0141], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, 0.0415, 0.3077]. Recommendation = [0.0, -0.2639, -0.0141], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.1084, 0.4326]. Recommendation = [0.0, -0.2639, -0.0141], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, 0.1577, 0.0763]. Recommendation = [0.0, -0.0928, 0.0026], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.0039, -0.0423]. Recommendation = [0.0, -0.0039, -0.0423], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, 0.0692, -0.2518]. Recommendation = [0.0, -0.0346, -0.0732], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.3072, 0.7109]. Recommendation = [0.0, -0.0346, -0.0732], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.4254, 0.3118]. Recommendation = [0.0, -0.0346, -0.0732], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.4545, 0.5124]. Recommendation = [0.0, -0.0346, -0.0732], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.3296, 0.4403]. Recommendation = [0.0, -0.0346, -0.0732], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.4876, 0.1369]. Recommendation = [0.0, -0.0346, -0.0732], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.4231, -0.0513]. Recommendation = [0.0, -0.0346, -0.0732], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.3406, 0.2598]. Recommendation = [0.0, -0.0346, -0.0732], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.2990, -0.3069]. Recommendation = [0.0, -0.0346, -0.0732], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.5496, 0.3229]. Recommendation = [0.0, -0.0346, -0.0732], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.0839, 0.6431]. Recommendation = [0.0, -0.4436, 0.2338], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.4436, 0.2338]. Recommendation = [0.0, -0.4436, 0.2338], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, 0.2376, -0.0954]. Recommendation = [0.0, -0.0346, -0.0732], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.6430, 0.1479]. Recommendation = [0.0, 0.1577, 0.0763], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.4790, 0.0326]. Recommendation = [0.0, -0.5258, 0.2361], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.0390, -0.4047] = 438.7216, sampling [1.0, -0.6457, 0.5192]. Recommendation = [0.0, -0.5258, 0.2361], Current Cost = 5033.00, Rho = 1.000
