(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.7441, 0.9105]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5005.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.3769, 0.3284]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5006.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.2735, 1.5013]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5007.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -1.5851, 0.7386]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5008.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.1751, 0.2367]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5009.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.5976, 0.8365]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5010.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.2713, 0.8467]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5011.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.3943, 0.4948]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5012.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -1.1400, 1.6660]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5013.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.8503, 0.0672]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5014.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.6629, 1.5399]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5015.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.6864, 1.9666]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5016.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -1.1275, 1.2540]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5017.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.3630, 1.0727]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5018.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.7416, 0.4811]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5019.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.2258, -0.1343]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5020.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.1210, 0.5522]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5021.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -1.5940, 1.3793]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5022.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -1.9588, -0.1995]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5023.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.0530, 0.2576]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5024.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.7420, 0.5192]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5025.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 1.1572, 1.0296]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5026.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 1.4997, 1.9446]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5027.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.3294, 1.9328]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5028.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.5744, 1.1715]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5029.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.4871, 0.6326]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5030.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.1984, -0.0935]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5031.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.3648, 0.2822]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5032.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -1.0678, 0.8080]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5033.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.0286, 1.0523]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5034.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -1.2564, 1.9533]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5035.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.4702, 0.1067]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5036.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 1.1917, 1.5414]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5037.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.8699, 1.5188]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5038.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.8220, 1.1482]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5039.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.2699, 0.7012]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5040.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 1.8462, 1.2904]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5041.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.4944, 0.0423]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5042.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.2751, 0.4459]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5043.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -1.4534, 1.7183]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5044.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.5004, 0.5762]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5045.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.0457, 0.0539]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5046.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.4770, -0.4293]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5047.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.8268, 0.1903]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5048.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 1.0107, 0.5231]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5049.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, -0.9703, 1.0629]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5050.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.4779, 0.3443]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5051.00, Rho = 0.969
(iter 10) [0.0, 0.5377, 0.2496] = 455.9302, sampling [1.0, 0.9996, 1.9319]. Recommendation = [0.0, 0.5377, 0.2496], Current Cost = 5052.00, Rho = 0.969
