(iter 10) [0.0, -0.0964, -1.1140] = 328.9165, sampling [1.0, 0.3390, -0.5583]. Recommendation = [0.0, -0.0964, -1.1140], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0964, -1.1140] = 328.9165, sampling [1.0, 0.4229, -0.9325]. Recommendation = [0.0, 0.3390, -0.5583], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0964, -1.1140] = 328.9165, sampling [1.0, 0.2942, -0.0775]. Recommendation = [0.0, 0.3390, -0.5583], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0964, -1.1140] = 328.9165, sampling [1.0, 0.3619, 0.3437]. Recommendation = [0.0, 0.2942, -0.0775], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0964, -1.1140] = 328.9165, sampling [1.0, 0.5239, 0.0197]. Recommendation = [0.0, 0.2942, -0.0775], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0964, -1.1140] = 328.9165, sampling [1.0, 0.1052, 0.1902]. Recommendation = [0.0, 0.2942, -0.0775], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0964, -1.1140] = 328.9165, sampling [1.0, 0.2061, 0.7460]. Recommendation = [0.0, 0.3452, 0.1150], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0964, -1.1140] = 328.9165, sampling [1.0, 0.0433, -0.2425]. Recommendation = [0.0, 0.3452, 0.1150], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0964, -1.1140] = 328.9165, sampling [1.0, 0.6954, 0.5015]. Recommendation = [0.0, 0.2883, 0.0661], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0964, -1.1140] = 328.9165, sampling [1.0, -0.1907, 0.4215]. Recommendation = [0.0, 0.3452, 0.1150], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0964, -1.1140] = 328.9165, sampling [1.0, 0.1389, 0.4343]. Recommendation = [0.0, 0.3452, 0.1150], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0964, -1.1140] = 328.9165, sampling [1.0, 0.7440, 0.1951]. Recommendation = [0.0, 0.3452, 0.1150], Current Cost = 5016.00, Rho = 1.000
