(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.8306, 0.7527]. Recommendation = [0.0, 0.0900, -0.5607], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.3300, 0.4029]. Recommendation = [0.0, -0.8306, 0.7527], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -1.1430, 1.1077]. Recommendation = [0.0, -0.8306, 0.7527], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.5703, 1.0502]. Recommendation = [0.0, -0.8306, 0.7527], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.2536, -0.0749]. Recommendation = [0.0, -0.8306, 0.7527], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.6130, 0.4904]. Recommendation = [0.0, -0.2536, -0.0749], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -1.2120, 0.6780]. Recommendation = [0.0, -0.2536, -0.0749], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.3204, 0.0992]. Recommendation = [0.0, -0.2536, -0.0749], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.0553, 0.0733]. Recommendation = [0.0, -0.3204, 0.0992], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.1301, -0.2467]. Recommendation = [0.0, -0.1601, -0.0225], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.3733, 0.2447]. Recommendation = [0.0, -0.1601, -0.0225], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.1395, 0.3001]. Recommendation = [0.0, -0.1601, -0.0225], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.0502, -0.1540]. Recommendation = [0.0, -0.1564, 0.1195], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.5865, 0.7225]. Recommendation = [0.0, -0.1601, -0.0225], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.7995, 0.5233]. Recommendation = [0.0, -0.1601, -0.0225], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.9243, 0.9994]. Recommendation = [0.0, -0.1601, -0.0225], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.9383, 1.4357]. Recommendation = [0.0, -0.1601, -0.0225], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.3883, -0.1109]. Recommendation = [0.0, -0.1601, -0.0225], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -1.2623, 1.3266]. Recommendation = [0.0, -0.1601, -0.0225], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.1828, 0.1425]. Recommendation = [0.0, -0.1601, -0.0225], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.1009, 0.1115]. Recommendation = [0.0, -0.1601, -0.0225], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.2443, 0.6099]. Recommendation = [0.0, -0.0766, -0.0146], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.0190, 0.2245]. Recommendation = [0.0, -0.0766, -0.0146], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.9690, 1.2050]. Recommendation = [0.0, -0.0766, -0.0146], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.0766, -0.0146]. Recommendation = [0.0, -0.0766, -0.0146], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.0661, -0.0354]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.8486, 0.3499]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.7109, 0.6594]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.1601, -0.0225]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.5821, 0.4233]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.9602, 0.8756]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.2654, -0.3587]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.5109, 0.5328]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.6653, 0.0889]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -1.5421, 1.1338]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.8693, 0.9092]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.1175, 0.3579]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.3209, -0.0846]. Recommendation = [0.0, -0.0147, 0.0090], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.1597, 0.0516]. Recommendation = [0.0, 0.0584, 0.0472], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.1213, -0.4051]. Recommendation = [0.0, 0.0584, 0.0472], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.2193, 0.2880]. Recommendation = [0.0, 0.0584, 0.0472], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.7060, 0.5425]. Recommendation = [0.0, 0.0584, 0.0472], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.8643, 0.6814]. Recommendation = [0.0, 0.0584, 0.0472], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -1.2064, 1.6460]. Recommendation = [0.0, 0.0584, 0.0472], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -1.2679, 1.5635]. Recommendation = [0.0, 0.0584, 0.0472], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.0034, -0.0777]. Recommendation = [0.0, 0.0584, 0.0472], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.0380, 0.4947]. Recommendation = [0.0, 0.0584, 0.0472], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.2780, 0.3109]. Recommendation = [0.0, 0.0584, 0.0472], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.0970, -0.1278]. Recommendation = [0.0, 0.0584, 0.0472], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.0584, 0.0472]. Recommendation = [0.0, 0.0584, 0.0472], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.8152, 1.0926]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.5163, -0.2255]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.2997, -0.1562]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.1116, -0.1897]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.1943, 0.2214]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.0776, -0.2004]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.9973, 1.8543]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.6303, 0.5988]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.0147, 0.0090]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.4014, 0.5052]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.2514, 0.5648]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.0288, 0.8893]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.3078, 0.3327]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.4722, 0.3283]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.5638, 0.1789]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.5419, 0.0071]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.4478, 0.4472]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.3430, 0.4272]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.6081, 0.2823]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.5555, 0.3632]. Recommendation = [0.0, 0.1597, 0.0516], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.7927, 0.6988]. Recommendation = [0.0, 0.5555, 0.3632], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.7821, 0.1903]. Recommendation = [0.0, 0.5555, 0.3632], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.8900, 0.4528]. Recommendation = [0.0, 0.5555, 0.3632], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -1.3272, 1.4932]. Recommendation = [0.0, 0.5555, 0.3632], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -1.1991, 1.1993]. Recommendation = [0.0, 0.5555, 0.3632], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.0628, 0.2587]. Recommendation = [0.0, 0.5555, 0.3632], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.0102, -0.4622]. Recommendation = [0.0, 0.5555, 0.3632], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.6035, 0.5382]. Recommendation = [0.0, 0.5555, 0.3632], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.4704, 0.5614]. Recommendation = [0.0, 0.5555, 0.3632], Current Cost = 5083.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.5096, 0.4659]. Recommendation = [0.0, 0.5555, 0.3632], Current Cost = 5084.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, -0.1564, 0.1195]. Recommendation = [0.0, 0.5555, 0.3632], Current Cost = 5085.00, Rho = 1.000
(iter 10) [0.0, 0.0900, -0.5607] = 423.1229, sampling [1.0, 0.2329, -0.3774]. Recommendation = [0.0, 0.5555, 0.3632], Current Cost = 5086.00, Rho = 1.000
