(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.4210, 0.5467]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.2630, 0.1487]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.1379, -0.0614]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.0744, 0.4837]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.7018, 1.0711]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.2174, 0.1768]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.1783, 0.9925]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.7290, 0.2873]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.1909, -0.1991]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.0242, 0.0352]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.4002, -0.2654]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.1883, 0.4899]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.8258, 0.6159]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -1.0232, 1.4338]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.5912, 1.5976]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.3062, 0.3419]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.1077, 0.2087]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.5752, 0.1241]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.5402, 0.0128]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -1.1544, 0.9099]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.0832, -0.4485]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.6045, 0.8054]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.1207, 0.2269]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.4070, 0.3629]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.0234, 0.4059]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -1.3592, 1.5923]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.2871, 0.8120]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.0762, 0.6556]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.5559, 0.3996]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -1.2297, 1.1963]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.4420, -0.0669]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -1.0664, 1.7854]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -1.0128, -0.1007]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.9062, 0.9377]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.9890, 0.3956]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.6012, -0.3625]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.2394, 0.5515]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.4849, 0.1806]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.1500, -0.0534]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.5395, -0.4446]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.0227, 0.3141]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.3453, 0.8037]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.1457, -0.1800]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.9303, 1.1694]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -1.6120, 1.1553]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.0421, 1.4882]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.2292, 0.2470]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.2632, 0.1022]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.7124, 0.6029]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.6570, 0.5606]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.3659, 0.0586]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -1.4978, 1.9921]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -1.1342, 0.6742]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.5217, 1.3021]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.4311, 0.5929]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.8396, 0.0165]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -1.1858, 1.9087]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.1855, -0.3852]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.0775, 0.6937]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.1099, -0.7454]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.3182, -0.3836]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.6345, 1.9284]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.8145, 1.4003]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.0299, 0.2649]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.6522, 0.3771]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -1.1486, 1.6239]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.2957, -0.1669]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.2930, 0.4216]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, -0.8317, 0.0889]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.6050, 1.0432]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.4599, 0.1652]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, 0.0045, 0.2725] = 447.8828, sampling [1.0, 0.6351, -0.1302]. Recommendation = [0.0, 0.0045, 0.2725], Current Cost = 5076.00, Rho = 1.000
