(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, 0.0800, -0.2010]. Recommendation = [0.0, -0.2795, -0.9685], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, 0.1217, 0.2269]. Recommendation = [0.0, 0.0800, -0.2010], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, 0.2697, -0.0519]. Recommendation = [0.0, 0.0800, -0.2010], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, -0.0328, 0.0430]. Recommendation = [0.0, 0.1969, -0.0330], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, 0.4385, 0.3476]. Recommendation = [0.0, 0.0927, 0.0023], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, 0.3278, 0.1528]. Recommendation = [0.0, 0.0927, 0.0023], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, 0.1675, 0.5306]. Recommendation = [0.0, 0.1483, 0.0661], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, -0.1985, -0.3138]. Recommendation = [0.0, 0.0927, 0.0023], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, 0.1178, -0.4376]. Recommendation = [0.0, 0.0927, 0.0023], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, -0.2474, 0.2791]. Recommendation = [0.0, 0.0927, 0.0023], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, -0.1947, -0.0117]. Recommendation = [0.0, 0.0927, 0.0023], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, -0.0821, -0.1594]. Recommendation = [0.0, 0.0927, 0.0023], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, 0.1483, 0.0661]. Recommendation = [0.0, 0.0927, 0.0023], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, -0.0548, 0.1561]. Recommendation = [0.0, 0.0927, 0.0023], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.2795, -0.9685] = 345.1217, sampling [1.0, 0.4055, 0.0242]. Recommendation = [0.0, 0.1969, -0.0330], Current Cost = 5019.00, Rho = 1.000
