(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.1193, -0.4245]. Recommendation = [0.0, -0.1659, -0.6447], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.1919, -0.1838]. Recommendation = [0.0, 0.1193, -0.4245], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.4010, 0.0798]. Recommendation = [0.0, 0.1919, -0.1838], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.1809, 0.0911]. Recommendation = [0.0, 0.4010, 0.0798], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.3599, 0.4459]. Recommendation = [0.0, 0.2635, 0.0504], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.4145, 0.2336]. Recommendation = [0.0, 0.2635, 0.0504], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.3911, -0.1623]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.6745, 0.2983]. Recommendation = [0.0, 0.2635, 0.0504], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.5749, 0.4408]. Recommendation = [0.0, 0.2635, 0.0504], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.5560, 0.6825]. Recommendation = [0.0, 0.2635, 0.0504], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.2635, 0.0504]. Recommendation = [0.0, 0.2635, 0.0504], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.3114, -0.0716]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.4828, -0.0166]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.1606, 0.2262]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, -0.0182, -0.1027]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.0752, -0.2227]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.1416, 0.0318]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.3456, 0.2849]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.4694, 0.1126]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.1760, 0.3836]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.0055, 0.1844]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.4844, 0.6036]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.8160, 0.5667]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.6718, 0.6361]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.1659, -0.6447] = 409.7503, sampling [1.0, 0.8478, 0.4017]. Recommendation = [0.0, 0.2597, 0.0977], Current Cost = 5029.00, Rho = 1.000
