(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.1621, 0.8873]. Recommendation = [0.0, -0.1245, 0.7112], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.0012, 1.5653]. Recommendation = [0.0, -0.3279, -0.0128], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.0082, 0.2831]. Recommendation = [0.0, -0.3279, -0.0128], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.4429, 0.6386]. Recommendation = [0.0, -0.3279, -0.0128], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.3088, 0.4259]. Recommendation = [0.0, -0.3279, -0.0128], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.0890, 0.5512]. Recommendation = [0.0, -0.3279, -0.0128], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.1706, 0.1311]. Recommendation = [0.0, -0.3279, -0.0128], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.6226, 0.8424]. Recommendation = [0.0, -0.1706, 0.1311], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.7285, 1.1406]. Recommendation = [0.0, -0.1706, 0.1311], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.5471, 0.8996]. Recommendation = [0.0, -0.1706, 0.1311], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.3301, 0.3015]. Recommendation = [0.0, -0.1706, 0.1311], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.7872, 0.5077]. Recommendation = [0.0, -0.1706, 0.1311], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.9042, 0.7589]. Recommendation = [0.0, 0.7872, 0.5077], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.7025, 0.7189]. Recommendation = [0.0, 0.7143, 0.5889], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.5402, 0.3453]. Recommendation = [0.0, 0.7143, 0.5889], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.2806, 0.0848]. Recommendation = [0.0, 0.7143, 0.5889], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.0355, 0.0159]. Recommendation = [0.0, 0.7143, 0.5889], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 1.1981, 0.8898]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 1.0766, 0.5565]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.9147, 0.9529]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.5871, 0.5335]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.4957, 0.3408]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.5380, 0.5257]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 1.0577, 1.3300]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 1.0559, 1.1147]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 1.3647, 1.3335]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 1.1019, 1.7340]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.8349, 1.3481]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 1.6082, 1.7252]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 1.1763, 1.4866]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 1.5834, 0.9810]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.2020, 0.3503]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.4821, 0.7550]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.6425, 0.1346]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.7583, 0.3398]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.1993, 0.5420]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.9845, 0.9006]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -1.0224, 1.1474]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.8091, 0.6169]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 0.3845, 0.4722]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, 1.3591, 1.6059]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.9175, 0.8128]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.3279, -0.0128] = 453.0904, sampling [1.0, -0.7130, 0.6605]. Recommendation = [0.0, -0.0158, 0.0676], Current Cost = 5047.00, Rho = 1.000
