(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.5344, -1.1480]. Recommendation = [0.0, 0.0671, 1.8535], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.3529, -1.1642]. Recommendation = [0.0, -0.5344, -1.1480], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.3275, -1.2451]. Recommendation = [0.0, -0.3529, -1.1642], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.3850, -1.2013]. Recommendation = [0.0, -0.3529, -1.1642], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.1811, -1.0879]. Recommendation = [0.0, -0.3529, -1.1642], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.1418, -1.0085]. Recommendation = [0.0, -0.1811, -1.0879], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.0882, -1.0307]. Recommendation = [0.0, -0.1418, -1.0085], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.1930, -0.8017]. Recommendation = [0.0, -0.1418, -1.0085], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.1768, -0.7507]. Recommendation = [0.0, -0.1930, -0.8017], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.2739, -0.7698]. Recommendation = [0.0, -0.1768, -0.7507], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.2154, -0.6619]. Recommendation = [0.0, -0.1768, -0.7507], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.1523, -0.6225]. Recommendation = [0.0, -0.2154, -0.6619], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.0729, -0.6783]. Recommendation = [0.0, -0.1523, -0.6225], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.1582, -0.5412]. Recommendation = [0.0, -0.1523, -0.6225], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.0763, -0.4778]. Recommendation = [0.0, -0.1582, -0.5412], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.0410, -0.4277]. Recommendation = [0.0, -0.0763, -0.4778], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.0129, -0.4213]. Recommendation = [0.0, -0.0410, -0.4277], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.0176, -0.3529]. Recommendation = [0.0, -0.0129, -0.4213], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.0471, -0.3091]. Recommendation = [0.0, -0.0176, -0.3529], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.1465, -0.2531]. Recommendation = [0.0, -0.0471, -0.3091], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.2354, -0.2921]. Recommendation = [0.0, -0.1465, -0.2531], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.1054, -0.1700]. Recommendation = [0.0, -0.1465, -0.2531], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.0567, -0.1494]. Recommendation = [0.0, -0.1054, -0.1700], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.2388, -0.1977]. Recommendation = [0.0, -0.0567, -0.1494], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.1754, -0.0875]. Recommendation = [0.0, -0.0567, -0.1494], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.1156, -0.1436]. Recommendation = [0.0, -0.1754, -0.0875], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.0822, -0.1392]. Recommendation = [0.0, -0.1754, -0.0875], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, 0.0356, -0.0894]. Recommendation = [0.0, -0.1754, -0.0875], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.2005, 0.0208]. Recommendation = [0.0, 0.0356, -0.0894], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.2955, -0.0049]. Recommendation = [0.0, -0.2005, 0.0208], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.0671, 1.8535] = 113.5623, sampling [1.0, -0.3621, -0.1077]. Recommendation = [0.0, -0.2005, 0.0208], Current Cost = 5035.00, Rho = 1.000
