(iter 10) [0.0, -1.5356, 1.9545] = 433.5761, sampling [1.0, 0.1982, 0.6953]. Recommendation = [0.0, 0.2515, 0.5630], Current Cost = 5005.00, Rho = 0.904
(iter 10) [0.0, -1.5356, 1.9545] = 433.5761, sampling [1.0, -0.0163, 0.2172]. Recommendation = [0.0, -1.5356, 1.9545], Current Cost = 5006.00, Rho = 0.904
(iter 10) [0.0, -1.5356, 1.9545] = 433.5761, sampling [1.0, -0.3443, 0.6399]. Recommendation = [0.0, -0.0163, 0.2172], Current Cost = 5007.00, Rho = 0.904
(iter 10) [0.0, -1.5356, 1.9545] = 433.5761, sampling [1.0, 0.2553, 0.2397]. Recommendation = [0.0, -0.0163, 0.2172], Current Cost = 5008.00, Rho = 0.904
(iter 10) [0.0, -1.5356, 1.9545] = 433.5761, sampling [1.0, 0.7468, 0.8382]. Recommendation = [0.0, 0.2553, 0.2397], Current Cost = 5009.00, Rho = 0.904
(iter 10) [0.0, -1.5356, 1.9545] = 433.5761, sampling [1.0, 0.5650, 0.4253]. Recommendation = [0.0, 0.2553, 0.2397], Current Cost = 5010.00, Rho = 0.904
(iter 10) [0.0, -1.5356, 1.9545] = 433.5761, sampling [1.0, 0.4428, 0.2675]. Recommendation = [0.0, 0.2553, 0.2397], Current Cost = 5011.00, Rho = 0.904
(iter 10) [0.0, -1.5356, 1.9545] = 433.5761, sampling [1.0, 0.3159, 0.4376]. Recommendation = [0.0, 0.2553, 0.2397], Current Cost = 5012.00, Rho = 0.904
(iter 10) [0.0, -1.5356, 1.9545] = 433.5761, sampling [1.0, 0.6383, 0.6241]. Recommendation = [0.0, 0.2553, 0.2397], Current Cost = 5013.00, Rho = 0.904
(iter 10) [0.0, -1.5356, 1.9545] = 433.5761, sampling [1.0, 0.1130, 0.0371]. Recommendation = [0.0, 0.2553, 0.2397], Current Cost = 5014.00, Rho = 0.904
(iter 10) [0.0, -1.5356, 1.9545] = 433.5761, sampling [1.0, 0.2739, 0.1225]. Recommendation = [0.0, 0.1453, 0.1286], Current Cost = 5015.00, Rho = 0.904
(iter 10) [0.0, -1.5356, 1.9545] = 433.5761, sampling [1.0, 0.1227, 0.2591]. Recommendation = [0.0, 0.1453, 0.1286], Current Cost = 5016.00, Rho = 0.904
