(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, -0.1656, -0.9408]. Recommendation = [0.0, 0.6097, 1.6870], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.1139, -0.7702]. Recommendation = [0.0, -0.1656, -0.9408], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, -0.1135, -0.6833]. Recommendation = [0.0, 0.1139, -0.7702], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.0575, -0.4441]. Recommendation = [0.0, -0.1135, -0.6833], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.2101, -0.4704]. Recommendation = [0.0, 0.0575, -0.4441], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.1648, -0.2104]. Recommendation = [0.0, 0.0575, -0.4441], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.2609, -0.2981]. Recommendation = [0.0, 0.1648, -0.2104], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.0209, -0.3056]. Recommendation = [0.0, 0.1648, -0.2104], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.2203, -0.0811]. Recommendation = [0.0, 0.1648, -0.2104], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.4313, -0.0546]. Recommendation = [0.0, 0.2203, -0.0811], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.4102, -0.2742]. Recommendation = [0.0, 0.2203, -0.0811], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.1743, 0.0533]. Recommendation = [0.0, 0.2203, -0.0811], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.3092, 0.2295]. Recommendation = [0.0, 0.1743, 0.0533], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.4351, 0.1582]. Recommendation = [0.0, 0.1743, 0.0533], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, -0.0257, -0.0361]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.0638, 0.2042]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.0284, 0.0755]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.3473, 0.4364]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.1281, 0.4347]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.3880, 0.2777]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, -0.0545, -0.1439]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.0995, 0.2624]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.5232, 0.0219]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.5407, 0.3099]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.6160, 0.1803]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.4543, 0.5903]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.2181, 0.7201]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.6008, -0.1858]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.5934, 0.5313]. Recommendation = [0.0, 0.4351, 0.1582], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.6097, 1.6870] = 283.1521, sampling [1.0, 0.6724, 0.2908]. Recommendation = [0.0, 0.5179, 0.3434], Current Cost = 5034.00, Rho = 1.000
