(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -0.0835, 0.5905]. Recommendation = [0.0, 0.1257, 0.3189], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, 0.1568, 0.9206]. Recommendation = [0.0, 0.1257, 0.3189], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -0.7832, 0.5868]. Recommendation = [0.0, 0.1257, 0.3189], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -1.1843, 0.9646]. Recommendation = [0.0, -0.7832, 0.5868], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -0.4760, 0.4352]. Recommendation = [0.0, -0.7832, 0.5868], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -0.5241, 0.7558]. Recommendation = [0.0, -0.7832, 0.5868], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -1.0864, 0.6194]. Recommendation = [0.0, -0.7832, 0.5868], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -0.8272, 0.8379]. Recommendation = [0.0, -0.7832, 0.5868], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -1.1343, 1.3959]. Recommendation = [0.0, -0.7832, 0.5868], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -1.3795, 1.2446]. Recommendation = [0.0, -0.7832, 0.5868], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -0.8857, 1.0955]. Recommendation = [0.0, -0.7832, 0.5868], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -0.1928, 0.2726]. Recommendation = [0.0, -0.7832, 0.5868], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -0.6326, 0.2937]. Recommendation = [0.0, -0.7832, 0.5868], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -0.9612, 1.6672]. Recommendation = [0.0, -0.5720, 0.3838], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -0.4181, 0.1796]. Recommendation = [0.0, -0.5720, 0.3838], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -0.6661, 0.4482]. Recommendation = [0.0, -0.4946, 0.2585], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1257, 0.3189] = 446.3482, sampling [1.0, -0.8962, 0.3211]. Recommendation = [0.0, -0.5720, 0.3838], Current Cost = 5021.00, Rho = 1.000
