(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.9701, 1.3173]. Recommendation = [0.0, -1.0843, 1.2839], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -1.0302, 1.4049]. Recommendation = [0.0, -1.0843, 1.2839], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.8216, 1.3906]. Recommendation = [0.0, -1.0843, 1.2839], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.9917, 1.1930]. Recommendation = [0.0, -1.0843, 1.2839], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.9314, 1.2545]. Recommendation = [0.0, -1.0843, 1.2839], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.8080, 1.2099]. Recommendation = [0.0, -1.0843, 1.2839], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -1.0534, 1.1549]. Recommendation = [0.0, -1.0843, 1.2839], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.9428, 1.0766]. Recommendation = [0.0, -1.0534, 1.1549], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -1.1368, 1.1564]. Recommendation = [0.0, -1.0534, 1.1549], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.8997, 1.0030]. Recommendation = [0.0, -1.0534, 1.1549], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.7376, 0.9108]. Recommendation = [0.0, -1.0534, 1.1549], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.5838, 1.0848]. Recommendation = [0.0, -1.0534, 1.1549], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.8293, 0.8388]. Recommendation = [0.0, -1.0534, 1.1549], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.6076, 0.7318]. Recommendation = [0.0, -1.0534, 1.1549], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.7483, 0.8105]. Recommendation = [0.0, -1.0534, 1.1549], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.3826, 0.8195]. Recommendation = [0.0, -1.0534, 1.1549], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.5129, 0.9272]. Recommendation = [0.0, -1.0534, 1.1549], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.7112, 0.7384]. Recommendation = [0.0, -1.0534, 1.1549], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.9445, 0.8147]. Recommendation = [0.0, -1.0534, 1.1549], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -1.0900, 0.9499]. Recommendation = [0.0, -0.9445, 0.8147], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.7781, 0.6596]. Recommendation = [0.0, -0.9445, 0.8147], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.5291, 0.4694]. Recommendation = [0.0, -0.7781, 0.6596], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.3680, 0.4348]. Recommendation = [0.0, -0.7781, 0.6596], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.7262, 0.4944]. Recommendation = [0.0, -0.7781, 0.6596], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.4928, 0.3478]. Recommendation = [0.0, -0.7262, 0.4944], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.2624, 0.2519]. Recommendation = [0.0, -0.7262, 0.4944], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.1998, 0.4297]. Recommendation = [0.0, -0.7262, 0.4944], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.3626, 0.1767]. Recommendation = [0.0, -0.7262, 0.4944], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.0845, 0.0006]. Recommendation = [0.0, -0.3626, 0.1767], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.1598, 0.1545]. Recommendation = [0.0, -0.0845, 0.0006], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.2432, 0.0059]. Recommendation = [0.0, -0.0845, 0.0006], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.0533, -0.2401]. Recommendation = [0.0, -0.0845, 0.0006], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.2921, -0.1667]. Recommendation = [0.0, -0.0845, 0.0006], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.4471, 0.0165]. Recommendation = [0.0, -0.1953, -0.0812], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.1953, -0.0812]. Recommendation = [0.0, -0.1953, -0.0812], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, 0.0285, -0.0731]. Recommendation = [0.0, -0.2699, 0.0649], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, 0.1166, 0.1118]. Recommendation = [0.0, -0.2699, 0.0649], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.5250, 0.1385]. Recommendation = [0.0, -0.2699, 0.0649], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, 0.0129, 0.4254]. Recommendation = [0.0, -0.2699, 0.0649], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.1608, 0.2908]. Recommendation = [0.0, -0.4626, 0.1598], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.5879, 0.3305]. Recommendation = [0.0, -0.4626, 0.1598], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, 0.2000, -0.0694]. Recommendation = [0.0, -0.4626, 0.1598], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, 0.1608, -0.3213]. Recommendation = [0.0, -0.4626, 0.1598], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.1748, -0.3440]. Recommendation = [0.0, -0.4626, 0.1598], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, 0.0383, -0.2490]. Recommendation = [0.0, -0.4626, 0.1598], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -1.0843, 1.2839] = 450.7853, sampling [1.0, -0.4828, 0.2748]. Recommendation = [0.0, -0.4626, 0.1598], Current Cost = 5050.00, Rho = 1.000
