(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.1043, -0.0014]. Recommendation = [0.0, 0.6381, -0.4177], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.2651, 0.1381]. Recommendation = [0.0, 0.1043, -0.0014], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.0119, 0.4155]. Recommendation = [0.0, 0.1043, -0.0014], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.4070, 0.0123]. Recommendation = [0.0, -0.0747, 0.1500], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.1359, -0.1907]. Recommendation = [0.0, 0.0268, 0.1290], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.1687, -0.1961]. Recommendation = [0.0, -0.0826, -0.0047], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.0747, 0.1500]. Recommendation = [0.0, -0.0826, -0.0047], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.3167, 0.2783]. Recommendation = [0.0, -0.0826, -0.0047], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.4303, 0.3544]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.4375, 0.0571]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.1388, 0.7393]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.0826, -0.0047]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.3959, -0.1804]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.2708, 0.3008]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.2804, 0.5366]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.2700, 0.1226]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.3847, -0.1756]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.3054, -0.0233]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.5257, 0.2305]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.2873, 0.4759]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.5808, 0.2322]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.5359, 0.5564]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.1494, 0.3917]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.5913, -0.0458]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.5324, 0.5057]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.2895, 0.8469]. Recommendation = [0.0, 0.4316, 0.2684], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.4487, 0.3587]. Recommendation = [0.0, 0.4316, 0.2684], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.6944, 0.4068]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.7366, 0.0861]. Recommendation = [0.0, -0.5917, 0.3850], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, -0.4925, 0.7802]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.0332, -0.3460]. Recommendation = [0.0, 0.2088, 0.0397], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.6381, -0.4177] = 388.1416, sampling [1.0, 0.2765, -0.3383]. Recommendation = [0.0, 0.4316, 0.2684], Current Cost = 5036.00, Rho = 1.000
