(iter 10) [0.0, 1.4376, 0.9441] = 330.0736, sampling [1.0, 1.3538, 1.0322]. Recommendation = [0.0, 1.4376, 0.9441], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.4376, 0.9441] = 330.0736, sampling [1.0, 1.3166, 1.0574]. Recommendation = [0.0, 1.3538, 1.0322], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.4376, 0.9441] = 330.0736, sampling [1.0, 1.1414, 1.1535]. Recommendation = [0.0, 1.3166, 1.0574], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.4376, 0.9441] = 330.0736, sampling [1.0, 1.1507, 1.1795]. Recommendation = [0.0, 1.1414, 1.1535], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.4376, 0.9441] = 330.0736, sampling [1.0, 1.2057, 1.2697]. Recommendation = [0.0, 1.1507, 1.1795], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.4376, 0.9441] = 330.0736, sampling [1.0, 1.2453, 1.2836]. Recommendation = [0.0, 1.1507, 1.1795], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.4376, 0.9441] = 330.0736, sampling [1.0, 1.2271, 1.3291]. Recommendation = [0.0, 1.1507, 1.1795], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.4376, 0.9441] = 330.0736, sampling [1.0, 1.1535, 1.4503]. Recommendation = [0.0, 1.1507, 1.1795], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.4376, 0.9441] = 330.0736, sampling [1.0, 0.9581, 1.3940]. Recommendation = [0.0, 1.1535, 1.4503], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.4376, 0.9441] = 330.0736, sampling [1.0, 0.9548, 1.1638]. Recommendation = [0.0, 1.1535, 1.4503], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.4376, 0.9441] = 330.0736, sampling [1.0, 0.9277, 1.2491]. Recommendation = [0.0, 1.1535, 1.4503], Current Cost = 5015.00, Rho = 1.000
