(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.9888, 1.7073]. Recommendation = [0.0, 1.1292, 1.6040], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 1.0600, 1.5700]. Recommendation = [0.0, 1.1292, 1.6040], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.9103, 1.5158]. Recommendation = [0.0, 1.1292, 1.6040], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 1.0069, 1.5490]. Recommendation = [0.0, 1.1292, 1.6040], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.7637, 1.7026]. Recommendation = [0.0, 1.1292, 1.6040], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 1.1658, 1.5290]. Recommendation = [0.0, 1.1292, 1.6040], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 1.1089, 1.4122]. Recommendation = [0.0, 1.1658, 1.5290], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 1.0000, 1.4020]. Recommendation = [0.0, 1.1658, 1.5290], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 1.0696, 1.3747]. Recommendation = [0.0, 1.1658, 1.5290], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.8920, 1.3286]. Recommendation = [0.0, 1.1658, 1.5290], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 1.0851, 1.3270]. Recommendation = [0.0, 1.1658, 1.5290], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 1.1056, 1.3587]. Recommendation = [0.0, 1.0851, 1.3270], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.7113, 1.2145]. Recommendation = [0.0, 1.1056, 1.3587], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.7434, 1.3618]. Recommendation = [0.0, 1.1056, 1.3587], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.8722, 1.1283]. Recommendation = [0.0, 1.1056, 1.3587], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.8359, 1.1749]. Recommendation = [0.0, 1.1056, 1.3587], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 1.0287, 1.1058]. Recommendation = [0.0, 1.1056, 1.3587], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 1.0013, 1.0712]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.7134, 0.9725]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.8015, 1.0583]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.8365, 0.9218]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.4778, 0.8471]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.7500, 0.8581]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.6287, 0.6975]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.3447, 0.4880]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.4666, 0.6741]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.1896, 0.6041]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.5817, 0.5756]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.2573, 0.2757]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.5114, 0.3269]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.4068, 0.4118]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.3910, 0.1835]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 1.1292, 1.6040] = 445.4624, sampling [1.0, 0.0931, 0.1201]. Recommendation = [0.0, 1.0287, 1.1058], Current Cost = 5037.00, Rho = 1.000
