(iter 5) [0.0, -0.0143, -0.1276] = 453.6367, sampling [0.0, 0.1216, 0.6990]. Recommendation = [0.0, -0.0143, -0.1276], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -0.0143, -0.1276] = 453.6367, sampling [0.0, -0.1555, 1.9316]. Recommendation = [0.0, -0.0143, -0.1276], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -0.0143, -0.1276] = 453.6367, sampling [0.0, 0.8804, 0.5904]. Recommendation = [0.0, -0.0143, -0.1276], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -0.0143, -0.1276] = 453.6367, sampling [0.0, 1.8449, 1.2876]. Recommendation = [0.0, -0.0143, -0.1276], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -0.0143, -0.1276] = 453.6367, sampling [0.0, 0.3650, 0.2588]. Recommendation = [0.0, -0.0143, -0.1276], Current Cost = 9000.00, Rho = -1.230
(iter 9) [0.0, 0.3650, 0.2588] = 454.3188, sampling [0.0, -0.3498, 0.4065]. Recommendation = [0.0, 0.3650, 0.2588], Current Cost = 10000.00, Rho = -1.230
(iter 9) [0.0, 0.3650, 0.2588] = 454.3188, sampling [0.0, 0.4547, 0.9429]. Recommendation = [0.0, 0.1132, 0.2515], Current Cost = 11000.00, Rho = -1.230
(iter 9) [0.0, 0.3650, 0.2588] = 454.3188, sampling [0.0, -1.8445, 1.9746]. Recommendation = [0.0, 0.1132, 0.2515], Current Cost = 12000.00, Rho = -1.230
(iter 9) [0.0, 0.3650, 0.2588] = 454.3188, sampling [0.0, -0.2357, 1.0598]. Recommendation = [0.0, 0.1132, 0.2515], Current Cost = 13000.00, Rho = -1.230
(iter 9) [0.0, 0.3650, 0.2588] = 454.3188, sampling [0.0, -1.3589, 1.1184]. Recommendation = [0.0, 0.1132, 0.2515], Current Cost = 14000.00, Rho = -1.230
(iter 9) [0.0, 0.3650, 0.2588] = 454.3188, sampling [0.0, -1.0403, 1.6316]. Recommendation = [0.0, 0.1132, 0.2515], Current Cost = 15000.00, Rho = -1.230
(iter 9) [0.0, 0.3650, 0.2588] = 454.3188, sampling [0.0, -0.9889, 0.6278]. Recommendation = [0.0, 0.1132, 0.2515], Current Cost = 16000.00, Rho = -1.230
(iter 9) [0.0, 0.3650, 0.2588] = 454.3188, sampling [0.0, 0.0821, 0.3072]. Recommendation = [0.0, 0.1132, 0.2515], Current Cost = 17000.00, Rho = -1.230
(iter 9) [0.0, 0.3650, 0.2588] = 454.3188, sampling [0.0, 0.7233, 0.0268]. Recommendation = [0.0, 0.3650, 0.2588], Current Cost = 18000.00, Rho = -1.230
(iter 9) [0.0, 0.3650, 0.2588] = 454.3188, sampling [0.0, 1.3953, 0.2905]. Recommendation = [0.0, 0.5634, 0.4214], Current Cost = 19000.00, Rho = -1.230
(iter 9) [0.0, 0.3650, 0.2588] = 454.3188, sampling [0.0, -1.0211, 1.2417]. Recommendation = [0.0, 0.5634, 0.4214], Current Cost = 20000.00, Rho = -1.230
(iter 9) [0.0, 0.3650, 0.2588] = 454.3188, sampling [0.0, 0.5634, 0.4214]. Recommendation = [0.0, 0.5634, 0.4214], Current Cost = 21000.00, Rho = -1.230
(iter 21) [0.0, 0.5634, 0.4214] = 455.0294, sampling [0.0, -1.9657, 0.8545]. Recommendation = [0.0, 0.0460, 0.1130], Current Cost = 22000.00, Rho = -1.230
(iter 21) [0.0, 0.5634, 0.4214] = 455.0294, sampling [0.0, -0.6517, 0.5868]. Recommendation = [0.0, 0.0460, 0.1130], Current Cost = 23000.00, Rho = -1.230
