(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.0443, 0.5110]. Recommendation = [0.0, 0.0537, 0.2736], Current Cost = 5005.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.0080, 0.0935]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5006.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.4652, 0.8875]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5007.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.2495, 0.7335]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5008.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.2446, 0.2761]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5009.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.1694, 0.3054]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5010.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.9201, 1.3199]. Recommendation = [0.0, 0.0537, 0.2736], Current Cost = 5011.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.0370, 0.8370]. Recommendation = [0.0, 0.0537, 0.2736], Current Cost = 5012.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.5111, 0.4325]. Recommendation = [0.0, 0.0537, 0.2736], Current Cost = 5013.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.0537, 0.2736]. Recommendation = [0.0, 0.0537, 0.2736], Current Cost = 5014.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.0948, 0.4816]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5015.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.1837, 0.1322]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5016.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.2285, 0.0194]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5017.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.4367, 0.5836]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5018.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.2540, 0.4442]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5019.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.1368, 0.2935]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5020.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.2816, 0.4565]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5021.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.4640, 0.8829]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5022.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.1311, 1.6132]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5023.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.2018, 0.6869]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5024.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.8441, 0.8511]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5025.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.0528, -0.0488]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5026.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.0994, 0.6102]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5027.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.5252, 0.1372]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5028.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.0633, 0.0705]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5029.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -0.4779, 1.2891]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5030.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, 0.2468, 0.6010]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5031.00, Rho = 0.268
(iter 10) [0.0, 0.1900, -0.1146] = 453.3744, sampling [1.0, -1.2657, 1.4133]. Recommendation = [0.0, 0.0633, 0.0705], Current Cost = 5032.00, Rho = 0.268
