(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.1183, -0.1118]. Recommendation = [0.0, -0.2568, -0.1191], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.0295, -0.1532]. Recommendation = [0.0, 0.1183, -0.1118], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.0060, 0.0739]. Recommendation = [0.0, 0.1183, -0.1118], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.4243, -0.0834]. Recommendation = [0.0, 0.0344, -0.1046], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.2400, -0.2287]. Recommendation = [0.0, 0.0344, -0.1046], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.2946, 0.1636]. Recommendation = [0.0, 0.0344, -0.1046], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.1305, -0.0575]. Recommendation = [0.0, 0.1794, -0.0613], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.1348, 0.1656]. Recommendation = [0.0, 0.1794, -0.0613], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.4818, 0.1590]. Recommendation = [0.0, 0.1794, -0.0613], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.4053, 0.0639]. Recommendation = [0.0, 0.1794, -0.0613], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.0262, 0.2977]. Recommendation = [0.0, 0.1794, -0.0613], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.3636, 0.4035]. Recommendation = [0.0, 0.1794, -0.0613], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.1593, 0.3194]. Recommendation = [0.0, 0.1794, -0.0613], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.1794, -0.0613]. Recommendation = [0.0, 0.1794, -0.0613], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.7195, 0.1696]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.5506, 0.2902]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.5916, -0.2340]. Recommendation = [0.0, 0.4748, 0.2416], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.7800, 0.0009]. Recommendation = [0.0, 0.4748, 0.2416], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.4748, 0.2416]. Recommendation = [0.0, 0.4748, 0.2416], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.0215, -0.3107]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.1678, -0.1564]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.1397, -0.2910]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.3295, -0.3143]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.0073, 0.1468]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.2003, 0.4880]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.6256, 0.3622]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.4288, 0.5624]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.5238, 0.3720]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.0344, -0.1046]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.3984, 0.1559]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.6925, 0.2786]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.4914, -0.0646]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.2708, 0.3354]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.0685, 0.4606]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.3514, -0.0083]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.2499, -0.0402]. Recommendation = [0.0, -0.2499, -0.0402], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.0904, 0.2855]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.6535, 0.6360]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.9103, 0.4205]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.8248, 0.2351]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.3484, 0.7571]. Recommendation = [0.0, 0.5647, 0.3469], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.7450, 0.6331]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.4518, 0.1299]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.1667, -0.1853]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.3965, 0.3718]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.2377, 0.5278]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.0307, 0.5706]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.5553, 0.7876]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.1085, 0.2566]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.1179, -0.2520]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.7813, 0.7416]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.9905, 0.5927]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.8895, 0.7658]. Recommendation = [0.0, 0.3984, 0.1559], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.6762, 0.9636]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.0587, 0.8571]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.8778, 0.8742]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 1.0287, 0.2620]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.2042, -0.4876]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.2615, -0.2712]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.3480, -0.0963]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.1140, -0.4016]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.9879, 0.8191]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.2212, 0.6005]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.5526, -0.0003]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.5019, -0.1263]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.6446, 0.2528]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.5696, 0.4965]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.4635, 0.3901]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.3891, 0.5078]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.3335, 0.7322]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.5369, 0.0545]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.7190, 0.3530]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.6689, 0.4663]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.4736, 0.6570]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.4597, 1.0582]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5079.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.7282, 0.2078]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5080.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.4350, -0.4268]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5081.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.1235, 0.6640]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5082.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.0984, 0.4682]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5083.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.7989, 1.0223]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5084.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.9839, 0.9148]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5085.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.3809, 0.0139]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5086.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.2379, -0.1808]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5087.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.4781, -0.2606]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5088.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.2669, -0.1653]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5089.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.6047, 0.6969]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5090.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.7718, 0.5807]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5091.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.5823, 0.5420]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5092.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.8161, 0.5150]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5093.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.5134, 0.8713]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5094.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.7844, 0.6755]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5095.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.2546, 0.9940]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5096.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.9386, 0.3059]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5097.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.8360, 0.1343]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5098.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.7588, 0.3148]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5099.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.7748, 0.8151]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5100.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.6185, 0.7771]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5101.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.8485, 0.6142]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5102.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.5647, 0.3469]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5103.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 0.7659, 0.9715]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5104.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.2432, -0.5456]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5105.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, -0.6619, -0.2090]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5106.00, Rho = 1.000
(iter 10) [0.0, -0.2568, -0.1191] = 451.2961, sampling [1.0, 1.1221, 0.8234]. Recommendation = [0.0, 0.8895, 0.7658], Current Cost = 5107.00, Rho = 1.000
