(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.0692, -0.0048]. Recommendation = [0.0, 0.5932, 0.9028], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.5045, 0.3438]. Recommendation = [0.0, 0.0692, -0.0048], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.0978, 0.4310]. Recommendation = [0.0, 0.0692, -0.0048], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.5580, -0.3271]. Recommendation = [0.0, 0.0692, -0.0048], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, -0.0664, -0.3896]. Recommendation = [0.0, 0.3557, 0.2830], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, -0.2978, 0.0612]. Recommendation = [0.0, 0.3557, 0.2830], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.4310, 0.0396]. Recommendation = [0.0, -0.0819, -0.0681], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.9395, 0.3960]. Recommendation = [0.0, 0.3267, 0.2004], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.8208, 0.0500]. Recommendation = [0.0, -0.0819, -0.0681], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.6158, 0.6286]. Recommendation = [0.0, -0.0819, -0.0681], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 1.1314, 0.8686]. Recommendation = [0.0, -0.0819, -0.0681], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.3119, -0.5986]. Recommendation = [0.0, -0.0819, -0.0681], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, -0.3276, -0.1862]. Recommendation = [0.0, -0.0819, -0.0681], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.3014, -0.2427]. Recommendation = [0.0, -0.0819, -0.0681], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.8696, 0.7481]. Recommendation = [0.0, -0.0819, -0.0681], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.9418, 1.3216]. Recommendation = [0.0, -0.0819, -0.0681], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.0159, 0.8665]. Recommendation = [0.0, -0.0819, -0.0681], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, -0.3010, 0.3891]. Recommendation = [0.0, -0.0819, -0.0681], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 1.3443, 1.3638]. Recommendation = [0.0, -0.1309, 0.0229], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 1.5773, 0.8284]. Recommendation = [0.0, -0.1309, 0.0229], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.9032, 1.0726]. Recommendation = [0.0, -0.1309, 0.0229], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.4892, 1.3698]. Recommendation = [0.0, -0.1309, 0.0229], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, -0.5903, 0.0102]. Recommendation = [0.0, -0.1309, 0.0229], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.3931, 0.6132]. Recommendation = [0.0, -0.1309, 0.0229], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.1869, 0.2233]. Recommendation = [0.0, -0.1309, 0.0229], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, -0.0942, 0.2524]. Recommendation = [0.0, -0.1309, 0.0229], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 1.0801, 1.7394]. Recommendation = [0.0, -0.1309, 0.0229], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 1.1462, 1.1631]. Recommendation = [0.0, -0.1309, 0.0229], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 0.7063, 0.3016]. Recommendation = [0.0, -0.1309, 0.0229], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, -0.6100, 0.4083]. Recommendation = [0.0, -0.1309, 0.0229], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, -0.3750, 0.6974]. Recommendation = [0.0, -0.4255, 0.1677], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, -0.0744, -0.1348]. Recommendation = [0.0, -0.4500, 0.2974], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, -0.0920, 0.5678]. Recommendation = [0.0, -0.4500, 0.2974], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 1.1252, 1.5169]. Recommendation = [0.0, -0.4500, 0.2974], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, 1.0000, -0.5318]. Recommendation = [0.0, -0.4500, 0.2974], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.5932, 0.9028] = 425.7773, sampling [1.0, -0.4255, 0.1677]. Recommendation = [0.0, -0.4500, 0.2974], Current Cost = 5040.00, Rho = 1.000
