(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 0.1284, 0.7556]. Recommendation = [0.0, -0.6101, 0.4222], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, -0.2828, 0.6330]. Recommendation = [0.0, -0.6101, 0.4222], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 0.6646, 1.0527]. Recommendation = [0.0, -0.6101, 0.4222], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 0.8227, 0.5618]. Recommendation = [0.0, -0.6101, 0.4222], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 0.9927, 0.8147]. Recommendation = [0.0, -0.6101, 0.4222], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 0.5845, 0.7519]. Recommendation = [0.0, 0.8287, 0.7248], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 0.4719, 0.3631]. Recommendation = [0.0, 0.8287, 0.7248], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 1.1342, 0.3045]. Recommendation = [0.0, 0.8287, 0.7248], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, -0.0291, 0.3499]. Recommendation = [0.0, 0.8287, 0.7248], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 0.3383, 0.5030]. Recommendation = [0.0, 0.8287, 0.7248], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 0.2930, 1.2881]. Recommendation = [0.0, 0.8287, 0.7248], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 0.7046, 0.3797]. Recommendation = [0.0, 0.8287, 0.7248], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 0.9996, 1.0914]. Recommendation = [0.0, 0.6373, 0.4663], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 1.2384, 0.8197]. Recommendation = [0.0, 0.6373, 0.4663], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.6101, 0.4222] = 453.4573, sampling [1.0, 0.3031, 0.1502]. Recommendation = [0.0, 0.6373, 0.4663], Current Cost = 5019.00, Rho = 1.000
