(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.3333, 0.4732]. Recommendation = [0.0, -0.0606, -0.1259], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.4098, 1.1398]. Recommendation = [0.0, -0.0606, -0.1259], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.1865, 0.0071]. Recommendation = [0.0, -0.0606, -0.1259], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.1437, 0.4428]. Recommendation = [0.0, -0.0606, -0.1259], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.8982, 0.2782]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.5317, 0.0287]. Recommendation = [0.0, -0.1355, 0.0574], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.0876, 0.8426]. Recommendation = [0.0, -0.1355, 0.0574], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.0771, 0.8339]. Recommendation = [0.0, -0.1355, 0.0574], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.0588, 0.1051]. Recommendation = [0.0, -0.1355, 0.0574], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.7081, 0.6411]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.2532, 0.2320]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.3361, -0.2646]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.0691, 1.3376]. Recommendation = [0.0, -0.0606, -0.1259], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.5893, 0.9873]. Recommendation = [0.0, -0.0606, -0.1259], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.5455, 1.9305]. Recommendation = [0.0, -0.0606, -0.1259], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.5757, 0.3571]. Recommendation = [0.0, -0.0606, -0.1259], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.0606, -0.1259]. Recommendation = [0.0, -0.0606, -0.1259], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.7830, 0.9187]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.0224, 0.3101]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.3999, 0.7735]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.8149, -0.1133]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.3692, 0.0422]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.3666, 0.1918]. Recommendation = [0.0, -0.0752, 0.0214], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.1278, -0.1440]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.3293, 0.6165]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.0879, -0.3454]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.1859, 0.2068]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.9691, 0.5773]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.4454, 0.2612]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.2318, -0.1188]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.9562, 1.1183]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.1671, 0.5158]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.5594, -0.1736]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.1316, 0.1165]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.7457, 0.4387]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.1175, 1.2241]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.1595, -0.0082]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.5865, 0.5117]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.4588, 0.7856]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.6969, 0.2390]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.5983, 0.5285]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -0.7511, 1.2794]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, -1.3201, 0.1603]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.4657, 0.3444]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.1361, -0.3150] = 444.4281, sampling [1.0, 0.0141, -0.2745]. Recommendation = [0.0, -0.0027, -0.0639], Current Cost = 5049.00, Rho = 1.000
