(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 0.1293, -0.1866]. Recommendation = [0.0, 0.4266, 0.3561], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 0.0049, 0.3092]. Recommendation = [0.0, 0.4266, 0.3561], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 0.4612, 0.9393]. Recommendation = [0.0, 0.1090, 0.0489], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 1.0709, 0.5482]. Recommendation = [0.0, 0.1090, 0.0489], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 1.0166, 1.0971]. Recommendation = [0.0, 0.1090, 0.0489], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, -0.2688, 0.7597]. Recommendation = [0.0, 0.1090, 0.0489], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 0.8899, -0.1103]. Recommendation = [0.0, -0.0266, 0.1414], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 1.5307, 0.8243]. Recommendation = [0.0, 0.1090, 0.0489], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 0.6353, 1.5911]. Recommendation = [0.0, 0.1090, 0.0489], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 0.6543, 0.5559]. Recommendation = [0.0, 0.1090, 0.0489], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 0.1174, 0.6956]. Recommendation = [0.0, 0.1090, 0.0489], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 0.4190, 0.0102]. Recommendation = [0.0, 0.1090, 0.0489], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, -0.2778, -0.4237]. Recommendation = [0.0, 0.1795, 0.0814], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 0.3308, -0.6134]. Recommendation = [0.0, -0.0861, -0.0166], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, -0.7098, 0.3648]. Recommendation = [0.0, -0.0861, -0.0166], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, -0.0794, 1.3259]. Recommendation = [0.0, -0.2599, 0.1227], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, -0.6581, -0.1322]. Recommendation = [0.0, -0.2599, 0.1227], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, -0.4331, 0.3555]. Recommendation = [0.0, -0.1787, -0.0408], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 0.7648, 0.2172]. Recommendation = [0.0, -0.1787, -0.0408], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, -0.0861, -0.0166]. Recommendation = [0.0, -0.1936, -0.0299], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 0.8146, 0.8162]. Recommendation = [0.0, -0.2947, 0.1134], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, -0.7252, 0.9333]. Recommendation = [0.0, -0.2947, 0.1134], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 1.1083, 1.5249]. Recommendation = [0.0, -0.1936, -0.0299], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, -0.6178, 0.6869]. Recommendation = [0.0, -0.1936, -0.0299], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.4266, 0.3561] = 452.9387, sampling [1.0, 0.4767, -0.2280]. Recommendation = [0.0, -0.1936, -0.0299], Current Cost = 5029.00, Rho = 1.000
