(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, -0.0844, 0.6988]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 0.8958, 1.4721]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, -0.4494, 0.4350]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 0.5368, 1.0355]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 1.3237, 1.4959]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 1.1238, 1.6145]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 1.2010, 1.2367]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, -0.1460, 0.3098]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 0.3627, 0.4917]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 1.0129, 0.7958]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 1.0935, 1.0584]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 0.7452, 0.7017]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 0.8810, 0.9634]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 0.1265, 0.3157]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 1.3128, 1.0306]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 0.9256, 1.1564]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 0.6130, 0.4228]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 0.6441, 0.6164]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 0.8311, 0.5936]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, -0.5264, 0.3070]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 1.1581, 1.4591]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 0.4750, 0.2662]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, 0.2568, 0.1217]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.3537, 1.7876] = 455.9735, sampling [1.0, -0.0447, 0.1005]. Recommendation = [0.0, 1.3537, 1.7876], Current Cost = 5028.00, Rho = 1.000
