(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, -0.2583, 0.5160]. Recommendation = [0.0, -0.1069, 0.4486], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, -1.0028, 0.4756]. Recommendation = [0.0, 0.6870, 0.3330], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, 0.2255, 0.7872]. Recommendation = [0.0, 0.6870, 0.3330], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, -0.4987, 0.0449]. Recommendation = [0.0, 0.6870, 0.3330], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, -0.5705, 0.9359]. Recommendation = [0.0, 0.6870, 0.3330], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, -0.0338, 0.1572]. Recommendation = [0.0, 0.6870, 0.3330], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, 0.2542, 0.3836]. Recommendation = [0.0, 0.6870, 0.3330], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, -1.3301, 0.8774]. Recommendation = [0.0, 0.6870, 0.3330], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, -0.5448, 0.3296]. Recommendation = [0.0, 0.6870, 0.3330], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, -0.7541, 1.5859]. Recommendation = [0.0, 0.6870, 0.3330], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, -0.8134, -0.0276]. Recommendation = [0.0, 0.6870, 0.3330], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, -0.2220, 0.2181]. Recommendation = [0.0, -0.2220, 0.2181], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.6870, 0.3330] = 454.2717, sampling [1.0, -0.1759, -0.1200]. Recommendation = [0.0, 0.6870, 0.3330], Current Cost = 5017.00, Rho = 1.000
