(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, -0.0662, -0.4786]. Recommendation = [0.0, 0.2986, 1.1876], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, -0.0486, -0.2503]. Recommendation = [0.0, -0.0662, -0.4786], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, -0.3009, -0.3203]. Recommendation = [0.0, -0.0486, -0.2503], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, -0.1655, 0.2028]. Recommendation = [0.0, -0.0486, -0.2503], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, 0.1671, 0.2377]. Recommendation = [0.0, -0.1655, 0.2028], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, 0.1800, -0.1660]. Recommendation = [0.0, -0.1655, 0.2028], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, 0.2017, 0.6012]. Recommendation = [0.0, -0.1655, 0.2028], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, 0.0921, 0.3270]. Recommendation = [0.0, -0.1655, 0.2028], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, -0.4572, -0.0781]. Recommendation = [0.0, -0.1655, 0.2028], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, 0.4033, -0.0102]. Recommendation = [0.0, -0.1655, 0.2028], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, 0.2821, 0.1768]. Recommendation = [0.0, 0.4033, -0.0102], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, 0.4776, 0.4060]. Recommendation = [0.0, 0.2821, 0.1768], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, 0.3211, 0.4851]. Recommendation = [0.0, 0.2821, 0.1768], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, 0.1077, -0.5345]. Recommendation = [0.0, 0.2821, 0.1768], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.2986, 1.1876] = 335.1454, sampling [1.0, -0.1986, 0.5157]. Recommendation = [0.0, 0.2821, 0.1768], Current Cost = 5019.00, Rho = 1.000
