(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.7843, -0.0487]. Recommendation = [0.0, -0.2400, -0.0826], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.3405, 0.6235]. Recommendation = [0.0, -0.2400, -0.0826], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.4596, 0.1438]. Recommendation = [0.0, -0.2400, -0.0826], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.7333, 0.5249]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.4236, 1.3578]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.9107, 0.2370]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.6093, 0.7829]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.1607, 0.9758]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.1310, 0.4704]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.5033, -0.3410]. Recommendation = [0.0, -0.3648, 0.2431], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -1.2853, -0.1397]. Recommendation = [0.0, -0.3648, 0.2431], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.3648, 0.2431]. Recommendation = [0.0, -0.3648, 0.2431], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.9394, 0.8349]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.9629, 0.5898]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.6077, -0.0741]. Recommendation = [0.0, -0.8172, 0.6074], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.9586, 1.2055]. Recommendation = [0.0, -0.8172, 0.6074], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.0418, 1.5441]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -1.0386, 0.9927]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.5123, 0.8730]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -1.0641, 1.7936]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -1.1841, 1.4689]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.5791, 1.9432]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -1.1272, 1.3040]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.0041, 0.3162]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.1856, 0.6662]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.6753, 1.3702]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -1.7680, 1.7911]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.8172, 0.6074]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -1.2187, 1.0629]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.2171, -0.0028]. Recommendation = [0.0, -0.4596, 0.1438], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.9888, 1.3230]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.2348, -0.2885]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.4085, -0.2563]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.1514, 1.1424]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.1208, 0.3871]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -1.2600, 0.4916]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.5265, 0.7994]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.4884, 1.1776]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.3477, 0.5713]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.3746, 0.8527]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -1.5710, 1.4901]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, -0.7439, -0.4795]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.3187, -0.0324]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.0003, -0.3659]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.8857, 1.1340]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.8489, 0.7467]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 0.7890, 0.4628]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 1.0266, 0.9010]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 1.1710, 1.2607]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 1.1163, 1.5307]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.2400, -0.0826] = 452.7978, sampling [1.0, 1.4292, 1.5732]. Recommendation = [0.0, -0.2171, -0.0028], Current Cost = 5055.00, Rho = 1.000
