(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, 0.0478, 0.8497]. Recommendation = [0.0, -0.3933, 0.6404], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, -0.0438, 0.2391]. Recommendation = [0.0, -0.3933, 0.6404], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, -0.4576, -0.0001]. Recommendation = [0.0, -0.0438, 0.2391], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, -0.1517, -0.2277]. Recommendation = [0.0, -0.4576, -0.0001], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, -0.1050, 0.6373]. Recommendation = [0.0, -0.4576, -0.0001], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, -0.4823, -0.3155]. Recommendation = [0.0, -0.4576, -0.0001], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, -0.6325, 0.3773]. Recommendation = [0.0, -0.4576, -0.0001], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, -0.0085, 0.0402]. Recommendation = [0.0, -0.6325, 0.3773], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, 0.5656, 1.5822]. Recommendation = [0.0, -0.0085, 0.0402], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, 0.2368, 0.4719]. Recommendation = [0.0, -0.0085, 0.0402], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, -0.1204, -0.5190]. Recommendation = [0.0, -0.0085, 0.0402], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, 0.0593, -0.1919]. Recommendation = [0.0, -0.0085, 0.0402], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, 0.3054, 0.1393]. Recommendation = [0.0, 0.0078, -0.1504], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, 0.4463, 0.8642]. Recommendation = [0.0, 0.0179, 0.1464], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, -0.7381, 0.0143]. Recommendation = [0.0, 0.0078, -0.1504], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, -0.2763, -0.4053]. Recommendation = [0.0, 0.0078, -0.1504], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, -0.1962, 1.2373]. Recommendation = [0.0, 0.0078, -0.1504], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, 0.1875, 0.3428]. Recommendation = [0.0, 0.0078, -0.1504], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, 0.2897, -0.3849]. Recommendation = [0.0, 0.0078, -0.1504], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.3933, 0.6404] = 430.7644, sampling [1.0, 0.4715, 0.3239]. Recommendation = [0.0, 0.3054, 0.1393], Current Cost = 5024.00, Rho = 1.000
