(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.3634, 0.0164]. Recommendation = [0.0, 0.1761, 0.4132], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.2590, 0.4549]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.1313, 0.9624]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.7015, 0.0914]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.5320, 0.4259]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.4787, 0.8419]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.2177, 0.2780]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.1039, -0.1541]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, 0.1215, 0.6619]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, 0.0806, 0.1929]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.4295, -0.3114]. Recommendation = [0.0, -0.0713, 0.3627], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.7830, 0.4388]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.8941, 0.7478]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.5191, 1.3340]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.9949, 1.1147]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.6848, 0.9251]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.9138, -0.3544]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, 0.4209, 1.0421]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.0844, 1.3766]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.0713, 0.3627]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.1627, 0.5880]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -1.4159, 1.1594]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -1.1386, 1.3949]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.8523, 1.6498]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -1.0750, 0.4760]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -1.2350, 1.8927]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -1.6902, 1.7155]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.9722, 1.9771]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -1.2623, 1.4445]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, 0.4060, 0.6120]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, 0.1716, 0.9000]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, 0.1480, -0.1398]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.4969, 0.0042]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.9111, 0.2885]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.2375, -0.0963]. Recommendation = [0.0, -0.2375, -0.0963], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -1.4941, 0.7242]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.0501, -0.5541]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.6304, 1.1439]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.2940, 1.7408]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, -0.7516, -0.0563]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, 0.8118, 0.7160]. Recommendation = [0.0, -0.3634, 0.0164], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, 0.9084, 1.0962]. Recommendation = [0.0, 0.8118, 0.7160], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, 0.6251, 0.9484]. Recommendation = [0.0, 0.8118, 0.7160], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, 0.6898, 0.1572]. Recommendation = [0.0, 0.8118, 0.7160], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, 0.6700, 1.2081]. Recommendation = [0.0, 0.8118, 0.7160], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.1761, 0.4132] = 441.0139, sampling [1.0, 1.1054, 0.6860]. Recommendation = [0.0, 0.8118, 0.7160], Current Cost = 5050.00, Rho = 1.000
