(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, -0.6515, -0.0200]. Recommendation = [0.0, -0.7747, 0.4675], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, -1.2513, 0.8286]. Recommendation = [0.0, -0.7747, 0.4675], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, -0.2195, 0.6084]. Recommendation = [0.0, -0.7747, 0.4675], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, -0.6733, 1.0353]. Recommendation = [0.0, -0.7747, 0.4675], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, -0.2574, 0.0794]. Recommendation = [0.0, -0.6004, 0.5026], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, -0.4253, -0.6256]. Recommendation = [0.0, -0.4107, 0.2936], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, -1.0623, 1.3768]. Recommendation = [0.0, -0.6004, 0.5026], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, -1.3362, -0.0804]. Recommendation = [0.0, -0.2574, 0.0794], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, -0.4107, 0.2936]. Recommendation = [0.0, -0.6004, 0.5026], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, -0.4675, -0.2345]. Recommendation = [0.0, -0.6004, 0.5026], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, 0.0105, 0.2268]. Recommendation = [0.0, -0.6004, 0.5026], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, -1.0290, 0.9957]. Recommendation = [0.0, -0.2574, 0.0794], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, -0.7009, 1.6910]. Recommendation = [0.0, -0.2574, 0.0794], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.7747, 0.4675] = 451.3904, sampling [1.0, 0.0465, -0.6605]. Recommendation = [0.0, -0.2574, 0.0794], Current Cost = 5018.00, Rho = 1.000
