(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, 0.1495, 0.7392]. Recommendation = [0.0, -0.0050, 0.3236], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, -0.2339, 0.2102]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, -0.5152, 0.5376]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, -0.0050, 0.3236]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, -0.5889, 0.3392]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, -0.3096, 0.4575]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, -0.7694, 0.5526]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, -0.8975, 0.2436]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, -0.4882, 1.0636]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, 0.8764, 1.0298]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, 0.5519, 1.3051]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, 0.0715, 0.1656]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, 1.0646, 0.7819]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, 1.1710, 1.1652]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, -0.3242, -0.1606]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, -0.6404, -0.0706]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, 1.1969, 0.9551]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, 0.2685, 0.4699]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, 0.9187, 0.5267]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, 0.9809, 0.8765]. Recommendation = [0.0, 0.1876, 0.0924], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, 0.5855, 0.8873]. Recommendation = [0.0, 0.9809, 0.8765], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, -0.6148, 0.6443]. Recommendation = [0.0, 0.9809, 0.8765], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, -0.1620, 0.2788]. Recommendation = [0.0, 0.9809, 0.8765], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.1876, 0.0924] = 455.3123, sampling [1.0, 0.9328, 1.1015]. Recommendation = [0.0, 0.9809, 0.8765], Current Cost = 5028.00, Rho = 1.000
