(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 0.2644, 0.2515]. Recommendation = [0.0, -0.5336, -0.2287], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, -0.2393, 0.1194]. Recommendation = [0.0, 0.2644, 0.2515], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 0.8883, 0.4772]. Recommendation = [0.0, -0.2393, 0.1194], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 0.5244, 0.0038]. Recommendation = [0.0, -0.2393, 0.1194], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 0.3008, 0.5529]. Recommendation = [0.0, -0.2393, 0.1194], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 0.1175, -0.0460]. Recommendation = [0.0, -0.2393, 0.1194], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 0.6871, 0.8782]. Recommendation = [0.0, 0.2509, 0.1794], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 0.9107, 0.1303]. Recommendation = [0.0, 0.2509, 0.1794], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, -0.2856, 0.5686]. Recommendation = [0.0, 0.4689, 0.2810], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 0.4689, 0.2810]. Recommendation = [0.0, 0.2509, 0.1794], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, -0.1959, -0.1082]. Recommendation = [0.0, 0.2509, 0.1794], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, -0.1573, 0.2881]. Recommendation = [0.0, -0.2133, 0.0185], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 0.2278, 0.7997]. Recommendation = [0.0, -0.2133, 0.0185], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 0.6890, 1.2996]. Recommendation = [0.0, -0.2133, 0.0185], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 0.2209, -0.4474]. Recommendation = [0.0, -0.2133, 0.0185], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 1.0981, 0.9282]. Recommendation = [0.0, -0.2133, 0.0185], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 1.2223, 0.6382]. Recommendation = [0.0, -0.2133, 0.0185], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, -0.1133, -0.3420]. Recommendation = [0.0, -0.2133, 0.0185], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, -0.5943, 0.3271]. Recommendation = [0.0, -0.0739, -0.1867], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, -0.6089, 0.0896]. Recommendation = [0.0, -0.0739, -0.1867], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.5336, -0.2287] = 427.5885, sampling [1.0, 1.3872, -0.0783]. Recommendation = [0.0, -0.2133, 0.0185], Current Cost = 5025.00, Rho = 1.000
