(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.2029, 0.9963]. Recommendation = [0.0, -0.4426, 0.3234], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.9300, 0.4122]. Recommendation = [0.0, -0.2993, -0.1767], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.4426, 0.3234]. Recommendation = [0.0, -0.2993, -0.1767], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.8989, 1.3093]. Recommendation = [0.0, -0.4426, 0.3234], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.6801, 1.2106]. Recommendation = [0.0, -0.4426, 0.3234], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.7594, -0.0267]. Recommendation = [0.0, -0.4426, 0.3234], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.8025, 0.6662]. Recommendation = [0.0, -0.4426, 0.3234], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.0945, 0.2402]. Recommendation = [0.0, -0.8025, 0.6662], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -1.1989, 1.2492]. Recommendation = [0.0, -0.8025, 0.6662], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -1.5378, 0.6029]. Recommendation = [0.0, -0.8025, 0.6662], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.6640, 0.3086]. Recommendation = [0.0, -0.8025, 0.6662], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.9212, 1.7023]. Recommendation = [0.0, -0.8025, 0.6662], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.3251, 0.5076]. Recommendation = [0.0, -0.8025, 0.6662], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.2755, 0.5293]. Recommendation = [0.0, -0.8025, 0.6662], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.6197, 0.9912]. Recommendation = [0.0, -0.8025, 0.6662], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.8309, 0.8080]. Recommendation = [0.0, -0.8025, 0.6662], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.3445, 0.8694]. Recommendation = [0.0, 0.8309, 0.8080], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.9965, 1.0506]. Recommendation = [0.0, 0.8309, 0.8080], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 1.0808, 0.7232]. Recommendation = [0.0, 0.9965, 1.0506], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.1263, 0.1038]. Recommendation = [0.0, 0.9965, 1.0506], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.5309, 0.5594]. Recommendation = [0.0, 0.9965, 1.0506], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.5527, 0.2908]. Recommendation = [0.0, 0.9965, 1.0506], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.7661, 0.7008]. Recommendation = [0.0, 0.5527, 0.2908], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.0583, 0.3695]. Recommendation = [0.0, 0.5527, 0.2908], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.4380, 0.4314]. Recommendation = [0.0, 0.5527, 0.2908], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.1111, 0.1461]. Recommendation = [0.0, 0.5527, 0.2908], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.8429, 0.9373]. Recommendation = [0.0, 0.5527, 0.2908], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.0473, -0.0325]. Recommendation = [0.0, 0.5527, 0.2908], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.3163, 0.0027]. Recommendation = [0.0, 0.0314, 0.0880], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.0217, 1.8222]. Recommendation = [0.0, 0.0314, 0.0880], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.9856, 0.3612]. Recommendation = [0.0, 0.0314, 0.0880], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.7269, 0.8412]. Recommendation = [0.0, 0.0314, 0.0880], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.5134, 0.0337]. Recommendation = [0.0, 0.0314, 0.0880], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -1.0451, 1.3631]. Recommendation = [0.0, 0.0314, 0.0880], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.0314, 0.0880]. Recommendation = [0.0, 0.0314, 0.0880], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.2146, -0.0113]. Recommendation = [0.0, 0.5527, 0.2908], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 1.0897, 1.1693]. Recommendation = [0.0, 0.5527, 0.2908], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.5568, -0.2069]. Recommendation = [0.0, 1.0897, 1.1693], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.1688, 0.6210]. Recommendation = [0.0, 1.0897, 1.1693], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -1.2692, 1.3471]. Recommendation = [0.0, 1.0897, 1.1693], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.0954, -0.1357]. Recommendation = [0.0, 1.0897, 1.1693], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -1.1226, 1.5763]. Recommendation = [0.0, 1.0897, 1.1693], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -0.7890, 0.1822]. Recommendation = [0.0, 1.0897, 1.1693], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.8876, 0.8202]. Recommendation = [0.0, 1.0897, 1.1693], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 1.4020, 0.7904]. Recommendation = [0.0, 1.0897, 1.1693], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.9337, 1.0316]. Recommendation = [0.0, 1.0897, 1.1693], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, -1.1462, 1.3195]. Recommendation = [0.0, 1.0897, 1.1693], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.2993, -0.1767] = 447.5236, sampling [1.0, 0.6155, 0.9124]. Recommendation = [0.0, 1.0897, 1.1693], Current Cost = 5052.00, Rho = 1.000
