(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.7010, 0.2252]. Recommendation = [0.0, -1.0238, -0.1350], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.7189, 0.3140]. Recommendation = [0.0, -0.7010, 0.2252], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -1.0555, 0.3757]. Recommendation = [0.0, -0.7189, 0.3140], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.8758, 0.6720]. Recommendation = [0.0, -0.7189, 0.3140], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.6421, 0.8304]. Recommendation = [0.0, -0.8758, 0.6720], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.3783, 0.7110]. Recommendation = [0.0, -0.8758, 0.6720], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.4528, 1.0184]. Recommendation = [0.0, -0.8758, 0.6720], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.8128, 0.9538]. Recommendation = [0.0, -0.8758, 0.6720], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.7290, 1.1541]. Recommendation = [0.0, -0.8758, 0.6720], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.6699, 0.9018]. Recommendation = [0.0, -0.8758, 0.6720], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.2697, 0.4511]. Recommendation = [0.0, -0.8758, 0.6720], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.2815, 0.3290]. Recommendation = [0.0, -0.8758, 0.6720], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.2119, 0.6317]. Recommendation = [0.0, -0.8758, 0.6720], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.5715, -0.1010]. Recommendation = [0.0, -0.8758, 0.6720], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -1.0746, 0.7559]. Recommendation = [0.0, -0.8758, 0.6720], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.2425, -0.0469]. Recommendation = [0.0, -0.8758, 0.6720], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.3292, -0.1276]. Recommendation = [0.0, -0.2425, -0.0469], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.0963, 0.2079]. Recommendation = [0.0, -0.2425, -0.0469], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.1700, 0.2996]. Recommendation = [0.0, -0.2425, -0.0469], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.0801, 0.0805]. Recommendation = [0.0, -0.2425, -0.0469], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.0257, 0.4223]. Recommendation = [0.0, -0.0801, 0.0805], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.1881, 0.7933]. Recommendation = [0.0, -0.0801, 0.0805], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.0238, -0.1350] = 312.2297, sampling [1.0, -0.0443, 0.3503]. Recommendation = [0.0, -0.0801, 0.0805], Current Cost = 5027.00, Rho = 1.000
