(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, 0.2533, 0.5060]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, 0.6666, 0.7595]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.0823, 0.1101]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, 0.2321, -0.3168]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.0102, 0.9155]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, 0.9351, 0.9531]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.2321, -0.3551]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.1518, 0.4426]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, 0.5719, 0.6468]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, 0.4040, -0.1550]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, 0.6893, 0.2712]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, 0.3598, 0.9795]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.2940, -0.0835]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.0314, 0.2130]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.7417, 0.8416]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.5799, 0.5478]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.7071, 1.3363]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, 0.5201, 0.7781]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, 0.0227, 0.6175]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.2864, 0.3602]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.2546, 0.7039]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.6189, 0.1555]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, 0.9636, 1.1678]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, -0.3248, 0.0300]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 1.1799, 0.7462] = 414.5378, sampling [1.0, 0.3878, -0.4286]. Recommendation = [0.0, 1.1799, 0.7462], Current Cost = 5029.00, Rho = 1.000
