(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.0838, 0.1887]. Recommendation = [0.0, -0.5790, -0.1371], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.1560, -0.1952]. Recommendation = [0.0, 0.0838, 0.1887], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.5880, 0.5240]. Recommendation = [0.0, 0.0838, 0.1887], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.3433, -0.0306]. Recommendation = [0.0, 0.5880, 0.5240], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.4127, 0.8211]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.7177, 0.1256]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.1476, -0.4307]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 1.0625, 0.5491]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.3020, 0.4447]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.0479, 0.4638]. Recommendation = [0.0, -0.0819, -0.0742], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.2685, -0.0443]. Recommendation = [0.0, -0.0819, -0.0742], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.5519, 0.3497]. Recommendation = [0.0, -0.0819, -0.0742], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.7849, 0.7115]. Recommendation = [0.0, -0.0819, -0.0742], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.4984, 0.1372]. Recommendation = [0.0, -0.0819, -0.0742], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.6568, -0.1857]. Recommendation = [0.0, -0.0819, -0.0742], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.0819, -0.0742]. Recommendation = [0.0, -0.0819, -0.0742], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.4524, 0.2460]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.8729, 1.1933]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.4455, -0.0949]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.0205, 0.8444]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.3713, 0.6058]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.6818, 0.4188]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.1391, -0.3231]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 1.1846, 1.0899]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.2559, 0.0271]. Recommendation = [0.0, 0.2559, 0.0271], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 1.3109, 0.0983]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.4920, -0.3442]. Recommendation = [0.0, 0.3645, 0.0842], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.3645, 0.0842]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.0122, -0.6395]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 1.1016, 0.6931]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.2278, 1.1475]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 1.1168, 1.1629]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.6317, 0.0672]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.4264, 0.6169]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.9578, 0.4681]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.4117, 0.2947]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.3716, 0.8989]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.8147, 0.5734]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.7071, 0.7369]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.7423, 1.2128]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -1.0071, 0.9254]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.9032, 0.7305]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.5982, 1.0227]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.9780, 0.5886]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -1.0630, 0.7654]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.7892, 0.6764]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.2418, 1.6456]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -1.0950, 1.0502]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -1.1412, 0.8758]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.8584, 0.0157]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.4964, -0.0579]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -0.9290, 1.2705]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -1.3158, 1.0662]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -1.2778, 1.4295]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -1.0290, 1.6483]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, -1.6460, 1.4215]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.6458, 0.3787]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 1.0298, 1.5240]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -0.6542, -0.1584] = 419.1816, sampling [1.0, 0.9011, 1.2918]. Recommendation = [0.0, 0.6818, 0.4188], Current Cost = 5063.00, Rho = 1.000
