(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, 0.1830, 0.2166]. Recommendation = [0.0, 0.3301, -0.2175], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, 0.4155, 0.1357]. Recommendation = [0.0, 0.1830, 0.2166], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.1003, -0.0058]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.1229, 0.3003]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, 0.0707, 0.4604]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, 0.4176, 0.3897]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, 0.3062, 0.5275]. Recommendation = [0.0, 0.1509, 0.2376], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.2329, 0.8720]. Recommendation = [0.0, 0.1509, 0.2376], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, 0.0844, 0.5888]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.3631, 0.5059]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.3207, 0.2410]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.4024, 0.7215]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.4576, 0.3746]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.5829, 0.9106]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.5700, 1.3412]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.5579, 0.4703]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.7616, 0.6384]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.7330, 0.9166]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.7897, 0.7556]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.4441, 0.1859]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.8227, 1.2699]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -1.0284, 0.9695]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.9521, 0.7391]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -1.1741, 1.2011]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.8993, 0.4296]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -1.2219, 0.8905]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -1.0931, 0.6851]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.7474, 0.2010]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, 0.0226, -0.3408]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.2479, -0.2664]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.3301, -0.2175] = 445.1935, sampling [1.0, -0.4667, -0.1136]. Recommendation = [0.0, 0.4155, 0.1357], Current Cost = 5035.00, Rho = 1.000
