(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.0585, -0.1917]. Recommendation = [0.0, -1.0187, 1.3209], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.0661, -0.0232]. Recommendation = [0.0, 0.0585, -0.1917], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.1320, 0.1231]. Recommendation = [0.0, -0.0661, -0.0232], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.1121, 0.4039]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.2830, 0.2624]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.5928, 0.8189]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.2963, 0.7774]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.4379, 0.4650]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.4142, -0.0837]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -1.0023, 1.0197]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.7043, 0.6721]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.4963, 0.5913]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.3831, 0.2920]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.3226, 1.0079]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.2016, 0.3083]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.1499, 0.6537]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -1.0570, 1.1827]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.7775, 0.4598]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, -0.5881, 0.0741]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.3309, -0.2859]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.2918, 0.1644]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.0743, -0.4852]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.0009, -0.0508]. Recommendation = [0.0, 0.0009, -0.0508], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.2646, 0.5355]. Recommendation = [0.0, 0.2918, 0.1644], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.5601, -0.1313]. Recommendation = [0.0, 0.2918, 0.1644], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.6368, 0.2513]. Recommendation = [0.0, 0.2918, 0.1644], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.6215, 0.5547]. Recommendation = [0.0, 0.2918, 0.1644], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.4215, 0.8763]. Recommendation = [0.0, 0.2918, 0.1644], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -1.0187, 1.3209] = 444.2033, sampling [1.0, 0.1798, 1.0963]. Recommendation = [0.0, 0.2918, 0.1644], Current Cost = 5033.00, Rho = 1.000
