(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, 0.2419, 0.5447]. Recommendation = [0.0, 1.0659, -0.1415], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, 0.2214, 0.4394]. Recommendation = [0.0, 0.2419, 0.5447], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, 0.6221, 0.4640]. Recommendation = [0.0, 0.2214, 0.4394], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, 0.2773, 0.1505]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.2515, 0.2780]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.4588, 0.6695]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, 0.5763, 0.6741]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.1925, 0.0558]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.4289, 0.2098]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.4148, 0.7835]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.6825, 0.5991]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.3493, 0.1979]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, 0.7639, -0.0163]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, 0.5432, 0.8487]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.8260, 0.1831]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.3734, 0.0754]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.8948, 0.5262]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.6617, 0.9268]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.8639, 0.7619]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, 0.8361, 0.6473]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, 0.3867, 0.9917]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.1671, -0.1855]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, 0.5228, -0.1570]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 1.0659, -0.1415] = 293.0801, sampling [1.0, -0.2755, 1.1710]. Recommendation = [0.0, 0.6221, 0.4640], Current Cost = 5028.00, Rho = 1.000
