(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, -0.3438, 0.2678]. Recommendation = [0.0, -0.3786, 0.1948], Current Cost = 5005.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, -0.2152, 0.5356]. Recommendation = [0.0, -0.3438, 0.2678], Current Cost = 5006.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, -0.2420, 0.0711]. Recommendation = [0.0, -0.3438, 0.2678], Current Cost = 5007.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, -0.5689, 0.2273]. Recommendation = [0.0, -0.2420, 0.0711], Current Cost = 5008.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, -0.1722, -0.0587]. Recommendation = [0.0, -0.3786, 0.1948], Current Cost = 5009.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, -0.3786, 0.1948]. Recommendation = [0.0, -0.3786, 0.1948], Current Cost = 5010.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, 0.0648, 0.1862]. Recommendation = [0.0, -0.2420, 0.0711], Current Cost = 5011.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, 0.4538, 0.8010]. Recommendation = [0.0, -0.2420, 0.0711], Current Cost = 5012.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, -0.4277, 0.3151]. Recommendation = [0.0, -0.2420, 0.0711], Current Cost = 5013.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, 0.9517, 1.2821]. Recommendation = [0.0, -0.2420, 0.0711], Current Cost = 5014.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, -0.0308, -0.2259]. Recommendation = [0.0, -0.2420, 0.0711], Current Cost = 5015.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, 0.1043, 0.5865]. Recommendation = [0.0, -0.2420, 0.0711], Current Cost = 5016.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, -0.6355, 0.0497]. Recommendation = [0.0, -0.2420, 0.0711], Current Cost = 5017.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, -0.4805, 0.7912]. Recommendation = [0.0, -0.2420, 0.0711], Current Cost = 5018.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, 0.9780, 0.9704]. Recommendation = [0.0, -0.2420, 0.0711], Current Cost = 5019.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, 0.7342, 1.0754]. Recommendation = [0.0, -0.2420, 0.0711], Current Cost = 5020.00, Rho = 0.766
(iter 10) [0.0, 1.3476, 1.4877] = 445.3944, sampling [1.0, 0.2281, -0.0924]. Recommendation = [0.0, -0.2420, 0.0711], Current Cost = 5021.00, Rho = 0.766
