(iter 5) [0.0, 0.9316, 1.3056] = 437.1457, sampling [0.0, 0.7713, 1.3956]. Recommendation = [0.0, 0.9316, 1.3056], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, 0.9316, 1.3056] = 437.1457, sampling [0.0, 1.1847, 1.2704]. Recommendation = [0.0, 0.9316, 1.3056], Current Cost = 6000.00, Rho = -1.230
(iter 6) [0.0, 1.1847, 1.2704] = 454.4933, sampling [0.0, 1.2944, 1.6990]. Recommendation = [0.0, 1.1847, 1.2704], Current Cost = 7000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 1.0445, 1.8740]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 8000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 1.6082, 1.4981]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 9000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 1.1119, 0.9908]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 10000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.8636, 1.1086]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 11000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 1.0147, 0.9529]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 12000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 1.1482, 0.9619]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 13000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.7401, 1.0346]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 14000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 1.3995, 1.0829]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 15000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.7204, 0.8313]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 16000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.5196, 0.9368]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 17000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.9899, 0.6406]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 18000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 1.1548, 0.7056]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 19000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.6128, 0.6140]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 20000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.6267, 0.4786]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 21000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.8130, 0.4067]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 22000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.9564, 0.4896]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 23000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.4624, 0.7969]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 24000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.0786, 0.6042]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 25000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.1033, 1.1727]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 26000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.4740, 0.2180]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 27000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.1126, 0.3754]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 28000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.3566, 0.1421]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 29000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.2529, 0.1219]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 30000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.0520, 0.2022]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 31000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.2847, 0.0500]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 32000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.0420, 0.0720]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 33000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, 0.2655, 0.0341]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 34000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, -0.1117, 0.1840]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 35000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, -0.1984, 0.1730]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 36000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, -0.2841, 0.3859]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 37000.00, Rho = -1.230
(iter 7) [0.0, 1.2944, 1.6990] = 456.1578, sampling [0.0, -0.3185, -0.0214]. Recommendation = [0.0, 1.2944, 1.6990], Current Cost = 38000.00, Rho = -1.230
