(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.8056, -0.1571]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.2060, 0.6502]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.4120, -0.0601]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.8410, 1.1596]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.1931, 0.2647]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.4635, 0.6863]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.6553, 0.1278]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.3500, -0.3372]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.0120, -0.2859]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.7242, 0.7566]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.1017, 1.1857]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.9628, 0.6017]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.5796, 1.7045]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.8721, 0.9981]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.1707, 1.3856]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.0330, 0.7314]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.0038, 1.3282]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.0514, 0.1573]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.1705, 0.5052]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.4479, 1.0380]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.8874, 0.4272]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.0228, 1.1468]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.1261, -0.5450]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.9650, 0.5507]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.2728, 1.6168]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.1465, 1.7361]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.5705, 0.8304]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.0468, -0.3540]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.1040, 0.8486]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.2431, 0.6998]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.7886, 0.1290]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, -0.0748, 0.3389]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, -0.2162, 0.0095]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.0273, 0.2262]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.3220, 1.5617]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.4707, -0.5049]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.6849, 1.2854]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.2340, 1.9682]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.7442, 0.0312]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, -0.2357, 0.9690]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, -0.3496, 0.3996]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, -0.3682, 0.2150]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.0966, 0.5749]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, -0.3253, -0.0042]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.1580, 1.1734]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, -0.4438, 0.6582]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, -0.4525, 0.3832]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.3993, 0.8028]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.9918, 0.3213]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, -0.2524, -0.3727]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, -0.1561, -0.5281]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.3655, -0.7120]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, -0.0483, -0.6913]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 0.8270, 1.8587]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, 0.7618, 0.5822] = 456.2429, sampling [1.0, 1.6244, 1.7205]. Recommendation = [0.0, 0.7618, 0.5822], Current Cost = 5059.00, Rho = 1.000
