(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 0.5216, 0.8567]. Recommendation = [0.0, 0.4151, 0.4460], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 1.1243, 0.0640]. Recommendation = [0.0, 0.2035, 0.2911], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 0.3364, 1.8538]. Recommendation = [0.0, -0.0515, 0.1218], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 0.2321, 0.3914]. Recommendation = [0.0, -0.0515, 0.1218], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, -0.1026, 0.6924]. Recommendation = [0.0, -0.0515, 0.1218], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 1.0760, 0.8232]. Recommendation = [0.0, -0.0515, 0.1218], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 0.5552, 0.3667]. Recommendation = [0.0, -0.0515, 0.1218], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 0.3245, 0.0687]. Recommendation = [0.0, 0.5552, 0.3667], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 1.8587, 0.9270]. Recommendation = [0.0, 0.2814, 0.1471], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 0.8543, 1.0389]. Recommendation = [0.0, 0.2814, 0.1471], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 0.6819, 0.6345]. Recommendation = [0.0, 0.2814, 0.1471], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 0.5858, -0.2033]. Recommendation = [0.0, 0.2814, 0.1471], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 0.1475, 0.8149]. Recommendation = [0.0, 0.2814, 0.1471], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0515, 0.1218] = 453.7758, sampling [1.0, 0.7607, 0.4712]. Recommendation = [0.0, 0.2814, 0.1471], Current Cost = 5018.00, Rho = 1.000
